Company,items,industry,description
삼성전기,"['수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판']",['전자부품 제조업'],"기업개요
동사는 수동소자(MLCC, 칩인덕터, 칩저항)를 생산하는 컴포넌트 사업부문, 카메라모듈/통신모듈을 생산하는 광학통신솔루션 사업부문, 반도체패키지 기판을 생산하는 패키지솔루션 사업부문으로 구성.
지역별로는 수원에 위치한 본사를 포함 국내에 총 3개의 생산기지(수원, 세종, 부산)와 해외 총 6개의 생산기지(중국, 필리핀, 베트남)를 보유함.
컴포넌트 부문 매출이 40.83%로 가장 큼.
출처 : 에프앤가이드"
LG이노텍,['기타 전자부품 제조업'],['전자부품 제조업'],"기업개요
동사 및 연결실체는 광학솔루션, 기판소재, 전장부품 사업부문의 총 3개 사업부 체제로 운영되고 있음.
Camera Module, 반도체기판, Tape Substrate, Photomask, 모터/센서, 차량통신, 전자부품 등을 주요 제품으로 하고 있음.
해외 판매망으로는 미국, 대만, 중국, 일본, 독일에 판매법인 및 지사가 설립되어 있으며 판매 및 고객지원 서비스를 제공하고 있음.
출처 : 에프앤가이드"
이수페타시스,"['P.C.B(인쇄회로기판),M.L.B 제조']",['전자부품 제조업'],"기업개요
동사는 전자제품의 핵심부품인 인쇄회로기판(PCB)을 전문으로 생산하고 있으며, 한국 (주)이수페타시스(본사)에는 3개의 공장 및 연구소를 운영하고 있음.
지역별로는 해외 총 2개의 생산기지(미국, 중국)을 보유, 2개의 자회사와 2개의 손자회사를 두고 사업을 운영하고 있음.
동사 이수페타시스의 판매조직은 영업본부 아래에 해외영업 및 국내영업으로 구성되어 있음.
출처 : 에프앤가이드"
롯데에너지머티리얼즈,"['인쇄회로기판(PCB)용 전해동박(ACF,UCF),에폭시용 동박,전해콘덴서용 알루미늄박 제조,판매']",['전자부품 제조업'],"기업개요
동사의 사업은 소재부문과 건설부문로 구분되며, 동사를 포함하여 소재부문 산하 6개, 건설부문 산하 10개 종속기업으로 구성되어 있음.
소재부문은 리튬이온 이차전지 소재인 Elecfoil 등 제품을 생산, 판매하고, 건설부문은 유리 및 창호 공사, 건설공사 등을 주요사업으로 함.
동사는 2022년부로 롯데그룹에 인수되어 사명을 롯데에너지머티리얼즈로 바꾸고 일진그룹에서 롯데그룹 계열사로 들어감. 롯데케미칼의 자회사로 자리잡음.
출처 : 에프앤가이드"
솔루엠,"['POWER, 3in1 Board, ESL 등']",['전자부품 제조업'],"기업개요
동사는 전자기기 부품의 연구개발 및 제조를 주요 사업으로 영위함.
사업부문은 크게 2개로 구성되는데, 각각 파워모듈, 3IN1보드 등을 생산/판매하는 전자부품사업부문과 ESL, IoT 등을 생산/판매하는 ICT 사업부문으로 구성됨.
본사에서 보유하고 있는 개발기술 및 지적재산권을 기반으로 중국, 베트남, 멕시코, 인도 등 해외에 종속회사를 두고 각종 전자부품의 생산/판매를 하고 있음.
출처 : 에프앤가이드"
대덕전자,"['PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매']",['전자부품 제조업'],"기업개요
동사는 PCB를 주요제품으로 생산 및 판매하는 전자부품 전문회사이며 주요 영업 지역은 한국, 중국, 미국, 동남아임.
동사가 생산하는 인쇄회로기판은 각종 전자제품에 소요되는 부품으로서 주문생산 방식을 통하여 각 산업분야별 제조업체에 공급되고 있음.
주요 거래처로는 삼성전자주식회사, 에스케이하이닉스 주식회사, 앰코테크놀로지코리아㈜, 유한회사 스태츠칩팩코리아 등이 있음.
출처 : 에프앤가이드"
대주전자재료,"['전도성페이스트,태양전지 페이스트,고분자재료,PIG,이차전지용음극재료']",['전자부품 제조업'],"기업개요
동사는 전자제품에 필수적으로 사용되는 전자부품용 소재를 종합적으로 개발, 제조, 양산할 수 있는 전자재료 전문기업.
생산 제품들은 스마트폰, 노트북 등에 사용되는 칩형 전자부품에 응용되는 칩부품용 전극재료와 LED용 형광체, AMOLED 재료, 태양전지용 전극재료, 이차전지 음극재료 등이 있음.
LED용 형광체는 LG화학 형광체 사업부를 인수하여 세계 2위의 생산능력을 확보함.
출처 : 에프앤가이드"
파크시스템스,['연구용 및 산업용 원자현미경'],"['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']","기업개요
동사는 1997년 설립되어 2015년에 코스닥시장에 상장한 나노계측장비(원자현미경) 전문 기업임.
해외 수출을 확대하기 위하여 미국 캘리포니아, 일본 도쿄 및 싱가폴 현지 판매 법인을 자회사로 운영하며 해외 영업활동을 강화하고 있음.
원자현미경은 소재, 화학, 제약, 생명공학, 전자, 반도체 등 여러 산업분야에 걸쳐 나노 과학기술 연구에 광범위하게 활용도가 높아지고 있는 추세임.
출처 : 에프앤가이드"
고영,['전자제품및반도체생산용 3차원 납도포검사장비'],['특수 목적용 기계 제조업'],"기업개요
동사는 전자제품 생산용, 반도체 생산용 3D 납도포검사기, 3D 부품 장착 및 납땜 검사기, 반도체 Substrate Bump 검사기 등을 제조해 판매하는 것을 주요 사업으로 영위함.
전자 제조 전문 서비스(EMS)업체,휴대폰, 자동차 부품 제조업체 등에 제품을 공급함.
Japan Koh Young Co.,Ltd, Koh Young Europe Gmbh 등 5개 회사를 연결대상 종속회사로 보유함.
출처 : 에프앤가이드"
심텍,['반도체용 인쇄회로기판'],['전자부품 제조업'],"기업개요
동사는 인적분할로 설립된 신설 회사로 2015년 8월 재상장하였으며, 분할 전 회사인 심텍홀딩스의 인쇄회로기판 제조사업부문 일체를 영위.
글로벌 Big 4 메모리 칩 메이커인 삼성전자, SK하이닉스 등과 Big 5 패키징 전문기업 ASE, Amkor 등을 고객사로 확보하여 안정적인 성장을 지속 중임.
동사의 제품은 지속적인 기술개발을 바탕으로 선도기술인 패턴 매립형 기판(ETS)은 2016년 세계일류화 상품에 지정된 바 있음.
출처 : 에프앤가이드"
에스티큐브,"['전자부품, 정보통신기기, 지능형로봇외']",['기계장비 및 관련 물품 도매업'],"기업개요
동사는 항암면역치료제, 면역관문억제제, 항체 및 저분자 화합물 치료 등의 혁신 바이오 신약개발 사업부문과 산업용 LENS, 소형 LCD모니터 및 프린터등의 수입,유통 하는 IT사업부문을 영위하고 있음.
산업용 CCTV용 렌즈모듈 및 센서가 동사 주력 제품으로 매출액의 약 98%를 차지함.
신약개발 부문에서 면역관문억제제 'hSTC810'가 글로벌 임상을 진행하고 있으며, 2023년 2월 임상 1상을 성공적으로 완료하였음.
출처 : 에프앤가이드"
윤성에프앤씨,['2차전지용 믹싱시스템'],['특수 목적용 기계 제조업'],"기업개요
1999년 12월에 설립되어, 2022년 11월 코스닥시장에 상장함.
동사는 2차전지에 필요한 분체 또는 액체 형태의 원재료를 혼합하는 데 필요한 믹싱 장비와 그 시스템 판매를 주력사업으로 영위하고 있음.
현재는 연속식 믹싱 시스템 개발에 집중하고 있으며, 중기 계획으로는 건식믹싱 시스템 개발, 장기에는 전 고체 전지에 대비하여 최적화된 교반기술을 개발할 계획.
출처 : 에프앤가이드"
이엠텍,"['마이크로스피커,리시버']",['전자부품 제조업'],"기업개요
동사는 2001년 설립된 전자기기 부품 제조 및 판매업체임. 동사 및 연결회사는 부품사업, 제품사업 등 2개의 부문으로 구성되어 있음.
부품사업 부문은 이동통신단말기용 Micro Speaker, Dynamic Receiver, Vibration Motor 등을 생산, 판매하고 있음.
제품사업 부문은 전자담배 Device, Wireless 스피커, Wireless 이어셋, Smart 보청기 등의 제품을 생산, 판매하고 있음.
출처 : 에프앤가이드"
비에이치,['FPCB (연성인쇄회로기판)'],['전자부품 제조업'],"기업개요
동사는 첨단 IT산업의 핵심부품인 FPCB와 그 응용부품을 전문적으로 제조, 공급하는 회사로 전문 FPCB 벤처 기업임.
FPCB 제품의 주요 목표시장은 스마트폰, OLDE, LCD모듈, 카메라모듈, 가전용TV, 전장부품 등을 생산하는 세트 메이커임.
고객의 대부분은 삼성전자, LG전자, 삼성디스플레이등 국내 대형 IT제조업체들이며 또한 일본과 중국 등지로 해외 고객 확보에 전력을 다하고 있음.
출처 : 에프앤가이드"
인텔리안테크,"['위성통신 안테나, 해상용 위성방송 수신안테나']",['통신 및 방송 장비 제조업'],"기업개요
동사는 위성통신 안테나 및 솔루션 분야 글로벌 선도기업으로 미국, 영국, 네덜란드 등의 법인을 통해 600여 고객사에 납품, 전체 매출 95%가 해외수출.
해상, 육상용위성 데이터통신(VSAT, FBB), 위성방송통신(TVRO), 지상용(Gateway)안테나 등 제품 생산.
최근 OneWeb, Amazon등 글로벌 IT대기업을 주축으로 저궤도(LEO)위성통신망활용 서비스시작, OneWeb에 지상용 저궤도 위성안테나 개발 및 공급.
출처 : 에프앤가이드"
솔루스첨단소재,"['동박, 유압기기 등']",['전자부품 제조업'],"기업개요
동사는 전지박, 동박, OLED 사업을 영위하고 있으며, 바이오 사업은 '23.07.04부로 Croda Overseas Holdings Limited에 매각을 완료하였음
동박사업은 5G 장비 및 반도체용 High-end 동박을 양산 중이며, 전지박 사업은 2018년 하반기 전지박 생산공장 설립, 2020년 4분기 양산 시작함.
OLED사업은 TV, 스마트폰 등 다양한 디스플레이 소재를 양산하고 있음
출처 : 에프앤가이드"
하나기술,['이차전지 양산 자동화 설비 제조'],['특수 목적용 기계 제조업'],"기업개요
동사는 2003년 3월 설립되었으며, 2차전지 공정 장비 제조를 주요 사업으로 영위함.
국내 2차전지 장비업체로는 유일하게 국내 이차전지 제조 3사인 삼성SDI, LG전자, SK이노베이션을 고객사로 확보하고 있으며, 해외 고객사로는 일본의 Murata, 태국의 GPSC 등을 확보하고 있음.
동사는 국내에서 유일하게 2차전지 전공정 장비 턴키 공급이 가능한 업체임.
출처 : 에프앤가이드"
서진시스템,"['통신장비부품,휴대폰부품(메탈케이스 등)']",['통신 및 방송 장비 제조업'],"기업개요
동사는 2007년 10월 30일 주식회사 서진시스템으로 설립됨.
금속가공 기술 및 시스템 설계 역량을 바탕으로 각종 통신장비, 핸드폰, 반도체장비 등의 함체, 구조물, 전기구동장치 등을 제조, 판매하고 있음.
동사는 종속회사를 생산거점으로 베트남 공장 및 설비 투자를 통해 자동차부품 및 전기자동차 부품을 일부 양산하고 있으며, 추가적으로 개발 및 양산 준비중에 있음.
출처 : 에프앤가이드"
자화전자,"['Bonded magenet,플라스틱자성제품,티탄산 바륨계 반도체소자,휴대전화용 Vibration Motor,전자관,전자부품 제조']",['전자부품 제조업'],"기업개요
동사는 전자부품 제조업등을 영위할 목적으로 1987년 2월 1일 설립하였으며, 1999년 1월 6일자로 상장되어 증권거래소 시장에서 매매가 개시됨.
동사는 전기전자 소재 및 정보통신기기 부품제조 및 판매업, 수출입업, 부동산업 및 부동산 임대업등을 영위하고 있음.
5G폰과 폴더블폰 쪽이 화두인만큼 이 부분에 특화된 동사의 성장기회가 될 것으로 기대되나 시장선점을 위한 제조사간의 경쟁은 더욱 심화될 것으로 예상됨.
출처 : 에프앤가이드"
엠씨넥스,"['모바일 카메라모듈,전장 카메라모듈,블랙박스,IP 카메라']",['영상 및 음향기기 제조업'],"기업개요
동사는 2004년 설립된 카메라모듈과 관련 응용제품의 개발 및 생산 기업임. 베트남 현지법인을 통해 제조를 하고 있으며 그 외 2개의 종속회사를 두고 있음.
동사는 초소형 카메라모듈 분야에 대한 핵심 기술력을 바탕으로 휴대폰, 자동차를 포함하여 블랙박스, 로봇, CCTV, 3D 등 사업영역을 확장해 나가고 있음.
동사는 2023년 1분기말 기준 현재 95개의 특허권을 보유하고 있음.
출처 : 에프앤가이드"
리튬포어스,"['휴대폰액세서리의 제조, 판매']",['그외 기타 제품 제조업'],"기업개요
동사는 반도체 검사장비등 개발 및 제조 사업을 영위할 목적으로 1998년 5월 설립.
사업 다각화 과정에서 2019년 2월 콘텐츠 제품 제조 및 판매를 주된 사업으로 영위하는 ㈜위드모바일을 합병하고 사명을 더블유아이로 변경.
2023년 5월 리튬포어스로 상호변경을 하였으며 2차 전지 소재 제조 및 판매, 바이오, 영화와 드라마 콘텐츠 투자 등 다양한 분야로의 비즈니스 확장을 추진 중.
출처 : 에프앤가이드"
인탑스,"['휴대용단말기 부품, 가전 부품, 자동차 부품, 의료기기 제품, 로봇 관련 제품 제조 등']",['통신 및 방송 장비 제조업'],"기업개요
1981년 6월 설립되어 IT디바이스, 자동차 부품 제조, 프린트 ASS`Y 제조, 가전제품 ASS`Y 제조 등의 사업을 영위하고 있음.
자동차 부품 부문은 2016년 7월 신규 인수한 미래 법인과 국내 구미사업장에서 사업을 영위하고 있으며 구미사업장 및 인탑스 천진법인에서 자동차 부품을 생산하고 있음.
삼성전자에 가전제품 내/외장재 부품을 공급하고 있으며 주요 제조 품목은 냉장고, 세탁기 등 가전제품의 케이스임.
출처 : 에프앤가이드"
