Company,items,industry,description
LG디스플레이,['액정표시장치(TFT-LCD) 제조'],['전자부품 제조업'],"기업개요
동사는 TFT-LCD 및 OLED 등의 기술을 활용한 Display 관련 제품을 생산, 판매하는 사업을 영위하고 있으며, Display 단일 사업부문으로 구성되어 있음.
대부분의 제품을 해외로 판매하고 있으며, 플렉서블 OLED 스마트폰, Wearable용 원형 OLED 패널 등을 출시하고 있음.
파주와 구미에 TFT-LCD 및 OLED 공장과 연구소를 보유하고 있으며, 미주, 유럽 및 아시아에 해외 현지법인을 두고 있음.
출처 : 에프앤가이드"
LX세미콘,['Display Driver IC'],['반도체 제조업'],"기업개요
동사는 반도체 개발 및 제조, 판매를 주요사업으로 영위, LG그룹에 소속되어 있음.
Display Panel을 구동하는 핵심부품(System IC)을 생산, 판매하는 사업을 영위하고 있으며, Display 단일 사업 부문으로 구성되어있음.
동사의 주력제품은 Driver-IC, T-CON, PMIC이며 Mobile향 P-OLED DDI, Touch Controller 등으로 제품 라인업 확대를 통해 매출성장 중에 있음.
출처 : 에프앤가이드"
이녹스첨단소재,"['FPCB소재, 반도체 및 디스플레이 소재']",['전자부품 제조업'],"기업개요
동사는 이녹스로부터 인적 분할을 통해 신규 설립되었으며, 2017년 7월 10일 코스닥 시장에 상장 되었음.
고분자 합성, 배합 기술을 기반으로하여 FPCB용 소재, 반도체 PKG용 소재, 디스플레이용 OLED 소재등을 개발,제조 및 판매하는 IT소재 사업을 하고 있음.
전세계 대부분의 OLED 패널제조사들에 OLED 핵심소재를 공급하고 있으며, 전방업체들과 긴밀한 소통과 기술협력을 통해서 제품군을 확대하는데 박차를 가하고 있음.
출처 : 에프앤가이드"
서울반도체,"['Display, Chip LED, Lamp']",['반도체 제조업'],"기업개요
동사는 일반조명, IT, 자동차, UV 등 광범위한 분야에 적용되는 LED 제품을 연구개발, 생산, 판매하는 종합 LED 기업임.
국내 본사를 중심으로 유럽, 중국, 베트남 등 글로벌 R&D Lab과 생산기지, 영업/마케팅 네트워크를 통해 LED 제품을 제조, 판매 중임.
UV, 가시광, IR 등 전파장에 걸친 LED Chip, LED Package, LED 모듈 및 시스템 기술을 보유하고 있음.
출처 : 에프앤가이드"
덕산네오룩스,"['HTL(정공수송층), HIL(정공주입층), RED HOST']",['전자부품 제조업'],"기업개요
동사는 OLED의 핵심 구성요소인 유기재료를 생산하는 기업으로, 2014년 12월 31일 기준으로 덕산하이메탈로부터 인적분할 방식으로 신설되었음.
덕산하이메탈에서 화학소재사업부문을 덕산네오룩스로 인적분할하였고 2015년 2월 6일 코스닥시장에 재상장됨.
동사는 OLED의 발광 소재 중 HTL과 Red Host, R Prime, G Prime을 주력으로 양산 납품 중이고, 기타 B Prime 등도 양산 판매를 하고 있음.
출처 : 에프앤가이드"
디이엔티,['FPD공정검사장비'],['특수 목적용 기계 제조업'],"기업개요
동사는 LCD, PDP, OLED 등 디스플레이산업에서 중요한 핵심기술인 공정기술과 장비기술을 근간으로 하여 검사장비를 개발, 생산/제작 및 판매하는 종합 장비 제조 업체임.
PDP Prober는 가격경쟁력과 우수한 기술 및 품질경쟁력으로 중국업체에 수주를 받아 납품하는 등 해외시장에도 진출하고 있음.
LCD 제품에 국한하지 않고 태양광장비, 2차 전지, AMOLED장비 등 신제품 개발에 최우선 목표를 가지고 연구개발에 투자중임.
출처 : 에프앤가이드"
미래나노텍,['LCDBLU용광학필름'],['플라스틱제품 제조업'],"기업개요
동사는 LCD BLU용 광학필름 및 재귀반사필름의 생산, 판매를 주요사업으로 영위하며, 2007년 10월 한국증권거래소 코스닥시장에 상장.
LCD 광학필름, 터치패널, 윈도우필름, 재귀반사필름, 멀티코팅필름 등을 생산, 판매하는 사업부문과 금융업(신기술사업 투자) 부문으로 구성되어 있음.
당사의 광학필름 제품은 대부분 Premium라인의 대형인치 TV에 적용되고 있음.
출처 : 에프앤가이드"
티로보틱스,"['중대형 시스템, 중대형 로봇']",['특수 목적용 기계 제조업'],"기업개요
동사는 2004년 설립이후 구축한 글로벌 진공로봇 전문기업에서, 자율주행과 의료재활 분야에 대비한 종합로봇기업으로 변화 중.
주요 사업으로는 글로벌 FPD/Semi제조사 및 장비사를 고객으로 확보한 진공로봇 부문과 4차산업혁명을 대비한 스마트팩토리 및 자율주행로봇 부문으로 나뉨.
특히 자율주행로봇 부문은 자체 개발한 자율주행로봇과 일본 ZMP 협력으로 확보한 자율주행솔루션으로 시장을 공략 중임.
출처 : 에프앤가이드"
AP시스템,['디스플레이 제조 장비'],['특수 목적용 기계 제조업'],"기업개요
동사의 주요 사업은 장비 연구개발 및 제조 사업으로, AMOLED/LCD 등 디스플레이장비, 반도체장비, 레이저응용장비 사업 등을 영위.
동사의 AMOLED 대표 장비는 크게 세 종류. LTPS공정 ELA장비, 봉지공정장비, Laser Lift Off장비로 구성됨.
동사에서 개발하여 공급하고 있는 ELA, LLO, Encapsulation 장비는 삼성디스플레이, 중국 포함 다수의 해외 디스플레이 패널 제조사로 공급영역을 확대 중.
출처 : 에프앤가이드"
아나패스,['Timing Controller(TCON)'],['반도체 제조업'],"기업개요
동사의 주력제품은 T-Con(Timing Controller) 및 TED(TCON Embedded Driver) IC임.
동사는 제품 생산을 외주위탁하는 팹리스 업체로서, 고객사인 패널업체가 요구하는 사양에 따라 다양한 형태의 주문형 반도체(ASIC)를 개발하여 공급하고 있음.
동사의 특허인 AiPi 우수한 기술력을 시장에서 인정받고 있고 있으며, 고객사의 표준기술로 채택되어 원가 절감과 시장 선도에 기여하고 있음.
출처 : 에프앤가이드"
