Company,items,industry,description
삼성전자,"['통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등']",['통신 및 방송 장비 제조업'],"기업개요
한국 및 DX부문 해외 9개 지역총괄과 DS부문 해외 5개 지역총괄, SDC, Harman 등 230개의 종속기업으로 구성된 글로벌 전자기업임.
세트사업은 TV를 비롯 모니터, 냉장고, 세탁기, 에어컨, 스마트폰, 네트워크시스템, 컴퓨터 등을 생산하는 DX부문이 있음.
부품 사업에는 DRAM, NAND Flash, 모바일AP 등의 제품을 생산하고 있는 DS 부문과 중소형OLED 등의 디스플레이 패널을 생산하고 있는 SDC가 있음.
출처 : 에프앤가이드"
SK하이닉스,"['반도체,컴퓨터,통신기기 제조,도매']",['반도체 제조업'],"기업개요
1983년 현대전자로 설립, 2001년 하이닉스반도체를 거쳐 2012년 최대주주가 SK텔레콤으로 바뀌면서 SK하이닉스로 상호를 변경함.
국내와 중국에 4개의 생산기지와 연구개발법인, 미국, 중국, 홍콩, 대만 등에 판매법인을 운영 중임. 인텔의 NAND사업 인수는 1단계 절차를 완료함.
주력제품은 D램, 낸드플래쉬, MCP와 같은 메모리 반도체이며, 일부 Fab을 활용하여 시스템반도체인 CIS 사업과 Foundry 사업도 병행함.
출처 : 에프앤가이드"
SK스퀘어,['지주회사'],['기타 금융업'],"기업개요
동사는 2021년 11월 2일 'SK텔레콤'으로부터 인적분할을 통해 설립되었음.
동사는 11번가, 원스토어, 티맵모빌리티, 드림어스컴퍼니 등 주요 종속회사와 SK하이닉스와 같은 주요 자회사를 포함하여 반도체ㆍICT 섹터를 중심으로 한 효율적인 포트폴리오 및 지배구조를 형성하고 있음.
동사는 23년 3월부터 1,100억원 규모의 자기주식을 취득 중이며, 25년까지 주주환원 정책(자사주 매입/소각 또는 현금배당)을 이어갈 예정이다.
출처 : 에프앤가이드"
DB하이텍,['반도체 제조'],['반도체 제조업'],"기업개요
DB그룹의 주요계열사인 동사는 1953년 4월 28일에 설립되었으며, 반도체 제조를 주요 사업으로 영위함.
웨이퍼 수탁 생산 및 판매를 담당하는 파운드리 사업과 디스플레이구동칩(DDI) 및 자사 제품을 설계, 판매하는 브랜드 사업을 운영하고 있음.
부천(FAB1)과 상우(FAB2) 두 곳에 공장을 두고 있으며, 해외 영업을 위해 미국법인과 대만, 일본, 중국 지사를 운영하고 있음.
출처 : 에프앤가이드"
한미반도체,"['반도체 후공정장비,반도체금형 제조/부동산 매매,임대']",['특수 목적용 기계 제조업'],"기업개요
1980년 설립후 제조용 장비의 개발 및 출시를 시작함. 최첨단 자동화장비에 이르기까지 반도체 생산장비의 일괄 생산라인을 갖추고 세계적인 경쟁력을 확보 함.
세계 시장점유율 1위인 EMI Shield 장비는 스마트 장치와 IoT, 자율주행 전기차, 저궤도 위성통신서비스, UAM 등 6G 상용화 필수 공정에 쓰이고 있음.
동사의 주력장비인 'VISION PLACEMENT'는 세계 시장 점유율 1위를 굳건히 지키고 있음.
출처 : 에프앤가이드"
리노공업,"['리노핀, 반도체 소켓 등']",['전자부품 제조업'],"기업개요
동사는 1978년 설립되어 현재 검사용 프로브와 반도체 검사용 소켓을 제조 및 판매하는 사업과 초음파 진단기 등에 적용되는 의료기기 부품을 제조 및 판매하는 사업을 영위하고 있음.
동사는 기존 전량 수입에 의존하던 검사용 프로브와 반도체 검사용 소켓(IC TEST SOCKET)을 자체브랜드로 개발하였음.
의료기기 부품 부문에서는 다품종 및 단납기에 대응할 수 있는 생산시스템을 보유하고 있음.
출처 : 에프앤가이드"
이오테크닉스,['레이저 마커 및 레이저 응용기기'],['특수 목적용 기계 제조업'],"기업개요
동사는 2000년 8월 24일 코스닥시장에 상장하였으며 신제품 개발을 위해 기술연구소를 설립함.
동사의 레이저 응용기술은 반도체, PCB, Display, 휴대폰 산업의 경기와 밀접한 연관이 있음.
레이저 응용산업은 고객사의 주문에 의해서 제작되며 그 주문자별로 제품사양이 달라지는 특성상 대량생산이 어려운 산업으로서 장비에 사용되는 주요 구성품은 전문화된 생산업체에서 조달하고 있음.
출처 : 에프앤가이드"
동진쎄미켐,"['반도체,LCD용재료(감광제,봉지제),발포제']",['기초 화학물질 제조업'],"기업개요
동사는 반도체 및 디스플레이용 재료, 대체에너지(Li-ion rechargeable batteries, fuel cells)용 재료와 발포제를 제조 판매함.
동사가 제조하는 반도체 및 디스플레이용 재료는 감광액, 반사방지막, SOC, 연마제, Wet Chemical, Colored Resist 등임.
동사는 발포제 부문에서 세계적인 업체로 부상하였으며, UNICELL이라는 브랜드로 세계 각국에 수출중임.
출처 : 에프앤가이드"
솔브레인,['반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등'],['기타 화학제품 제조업'],"기업개요
동사는 반도체 공정용 화학재료, 디스플레이 공정용 화학재료, 2차 전지 소재 등을 생산하고 있으며 국내의 주요 반도체, 디스플레이, 2차 전지 제조사에 제품을 공급하고 있음.
동사의 고객사는 국제 시장을 선도하는 디스플레이 패널 생산, 반도체 칩 생산, 2차 전지 생산업체가 있음.
현재 삼성전자, 삼성디스플레이, SK하이닉스, LG디스플레이 등 국내 반도체 및 디스플레이 제조사에 공정용 화학 재료 등을 안정적으로 공급 중.
출처 : 에프앤가이드"
원익IPS,['반도체 제조용 기계'],['특수 목적용 기계 제조업'],"기업개요
인적분할로 설립된 신설회사로 2016년 5월 재상장, 분할 전 회사인 원익홀딩스가 영위하던 사업 중 반도체, Display 및 Solar 장비의 제조사업부문을 담당.
2019년 2월 원익테라세미콘 합병으로 국내 대형 장비 기업으로 도약함.
매출구성은 제품(반도체/Display/Solar Cell 제조 장비) 83%, 기타(장비 및 장치 유지보수에 필요한 부품, 기술용역 등) 17%로 이루어져 있음.
출처 : 에프앤가이드"
파두,['SSD 컨트롤러'],['반도체 제조업'],"기업개요
데이터센터에 특화된 시스템 반도체 팹리스 기업으로, 클라우드, AI/Big data, 5G, 자율주행 등 데이터 수요의 폭발적인 증가에 따라 빠르게 성장하는 데이터센터 영역에 집중하고 있음.
데이터센터 관련 반도체 시장의 규모 성장뿐 아니라 산업의 구조적 변화로 인해 시스템 반도체 산업 내 동사와 같은 팹리스 기업의 역할과 중요성은 더 높아지고 있음.
동사의 핵심제품은 데이터센터에서 사용되는 SSD 컨트롤러임.
출처 : 에프앤가이드"
