Company,items,industry,description
삼성SDI,"['2차전지, 전자재료 제조 판매']",['일차전지 및 축전지 제조업'],"기업개요
동사는 소형전지, 중/대형전지 등의 리튬이온 2차전지를 생산/판매하는 에너지솔루션 사업부문과 반도체 및 디스플레이 소재 등을 생산/판매하는 전자재료 사업부문을 영위하고 있음.
소형전지는 원형, 파우치 등의 제품을 개발 및 판매하고 있으며 자동차용 중형전지는 고효율, 고용량 리튬이온 2차전지를 개발하고 이를 자동차 완성업체에 공급하고 있음.
반도체 및 디스플레이 등 차세대 에너지 분야에서 활용되는 소재를 개발 및 판매함.
출처 : 에프앤가이드"
LG에너지솔루션,"['2차전지 (소형,ESS,자동차전지)']",['일차전지 및 축전지 제조업'],"기업개요
동사는 LG화학에서 분할되어 신설되었으며, EV, ESS, IT기기, LEV 등에 적용되는 전지 관련 제품의 개발 및 제조하는 사업을 영위하고 있음.
EV용 배터리의 경우 경쟁사 대비 앞선 개발과 공급 및 높은 에너지 밀도 등의 제품 경쟁력을 기반으로 Global 자동차 OEM 대부분을 고객으로 확보하였음.
2023년 1분기 기준 EV용 배터리 세계시장에서 점유율 14.5%를 차지함.
출처 : 에프앤가이드"
에코프로비엠,['양극활물질'],['일차전지 및 축전지 제조업'],"기업개요
동사는 2016년 5월 1일을 분할기일로 하여 에코프로의 이차전지소재 사업부문이 물적분할되어 신설되었음. 2019년 3월 코스닥 시장에 상장하였음.
2013년 하이니켈계 양극소재 중심으로 사업을 재편한 이후 NCA 분야에서 시장점유율을 꾸준히 높여 왔음.
글로벌 Non-IT용 NCA 양극재 수요 확대와 국내외 EV용 하이니켈계 양극재 판매 호조가 계속되는 가운데 세계 시장 점유율을 지속적으로 확대해나가고 있음.
출처 : 에프앤가이드"
LG전자,"['이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기']",['통신 및 방송 장비 제조업'],"기업개요
동사와 종속기업의 주요사업부문은 Home Appliance & Air 솔루션, Home Entertainment, Mobile Communications, Vehicle component 솔루션 등 6개로 구분.
OLED TV는 초슬림, 월페이퍼, 롤러블 TV 등 지속적인 혁신 제품 출시로 프리미엄 시장을 지속 선도하고 있음.
디스플레이 오디오와 내비게이션 영역에서는 동사의 디스플레이 및 소프트웨어 역량을 활용하여 제품 차별화중.
출처 : 에프앤가이드"
엘앤에프,['2차전지 양극활물질'],['일차전지 및 축전지 제조업'],"기업개요
동사는 2000년 설립돼 2003년 코스닥 시장에 주식을 상장함. 2차전지 양극활물질과 그에 관련된 소재 제조 및 판매를 주요 사업으로 영위함. 스마트기기, ESS 등을 만드는 데 쓰임.
중국에 위치한 무석광미래신재료유한공사와 경북 김천에 위치한 제이에이치화학공업을 연결대상 종속회사로 보유함.
대구 달서구와 경북 칠곡군 등에 생산시설을 운영 중임. 매출은 수출 96.97%, 내수 3.03%로 구성됨.
출처 : 에프앤가이드"
SK아이이테크놀로지,['2차전지용 습식 분리막 및 폴더블 커버 윈도우'],['일차전지 및 축전지 제조업'],"기업개요
동사는 2019년 SK이노베이션에서 물적분할 된 기업으로, LiBS(Lithium-ion Battery Separator) 제조 및 판매를 주 사업으로 영위함.
세계 최초의 5㎛ 박막 제품 개발 및 양면 동시 코팅 상업화 등 경쟁사 대비 우위의 기술력을 바탕으로 Global LiBS 시장을 선도함.
세계 최고 품질의 LiBS를 생산하고 있으며, 충청북도 증평 및 청주, 중국 창저우와 폴란드 실롱스크에 생산라인을 보유하고 있음.
출처 : 에프앤가이드"
피엔티,['2차전지 및 전자소재용 Roll-to-Roll 장비'],['특수 목적용 기계 제조업'],"기업개요
2003년에 설립된 회사로 Roll to Roll 기술을 바탕으로 IT용 소재, 2차 전지의 음극 및 분리막 소재, Copper 등의 코팅 및 슬리터 장비의 제작 판매를 주요 사업으로 하고 있음.
디스플레이 소재용 필름 및 전자전기와 소형 및 ESS용 중대형 2차 전지의 분리막/음극/양극 소재, 그리고 회로소재 및 2차 전지용 극박 등 생산하는 장비 등을 개발 및 생산함.
국내 Copper 생산업체 중 LS엠트론에 독점 공급중임.
출처 : 에프앤가이드"
더블유씨피,['이차전지용 분리막'],['일차전지 및 축전지 제조업'],"기업개요
동사는 2022년 9월 30일 코스닥 시장에 신규 상장하였으며 현재 단일 사업부문으로 구성되어 EV용 이차전지 습식 분리막 제품의 연구, 개발, 제조, 판매 사업을 영위하고 있음.
동사의 주요 매출처는 이차전지 제조업체로서 주요 매출처에 대한 매출 비중은 약 53% 수준임.
즉각적인 영업 의사결정을 위해 제품 판매도 본사 판매조직을 통해 통합적으로 운영하고 있음.
출처 : 에프앤가이드"
두산퓨얼셀,['연료전지'],"['전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업']","기업개요
동사의 핵심 사업은 발전용 연료전지 사업으로, 발전용 연료전지 기자재 공급 및 연료전지 발전소에 대한 장기유지보수서비스 제공을 주요 사업으로 영위함.
매출 비중은 2022년 사업연도를 기준으로 기자재 공급 66% 및 장기유지보수서비스 34%로 구성되어 있으며, 주요 고객사는 공공 및 민간 발전사업자임.
미래성장을 위하여 익산공장 PAFC 생산시설 증설에 착수하였고, 차세대 SOFC 시스템 개발 및 생산설비 구축을 진행.
출처 : 에프앤가이드"
성일하이텍,"['코발트, 니켈, 리튬 등']",['기초 화학물질 제조업'],"기업개요
동사는 2차전지 리사이클링 전문 업체로 코발트, 리튬 등의 핵심물질을 추출하여 재활용하는 사업을 영위함.
동사는 셀업체 및 글로벌 완성차 OEM업체 중심으로 안정적 수급망 및 거점을 구축 하였으며, 기존 배터리 제조 과정에서 나오는 스크랩뿐 아니라 사용 후 전기차, ESG배터리도 원재료로 확보함.
전처리 공정을 담당하는 리사이클링 파크와 제련 및 제품화를 진행하는 하이드로 센터를 통해 2차전지 리사이클링 관련 일괄 공정 보유함.
출처 : 에프앤가이드"
