Company,items,industry,중분류
현대오토에버,"전산실운영, 시스템구축, 전산장비 납품, SOC/건축 사업",'소프트웨어 개발 및 공급업',소프트웨어
엠로,"기업용 공급망관리 소프트웨어, AI 디지털혁신 소프트웨어, 공급망관리 클라우드 서비스",'소프트웨어 개발 및 공급업',소프트웨어
안랩,바이러스백신 프로그램,'소프트웨어 개발 및 공급업',소프트웨어
솔트룩스,인공지능 및 빅데이터 소프트웨어,'소프트웨어 개발 및 공급업',소프트웨어
코난테크놀로지,"소프트웨어(인공지능,빅데이터,자연어처리,검색엔진,대화형챗봇,음성합성,음성인식) 연구개발 및 공급, 정보통신서비스",'소프트웨어 개발 및 공급업',소프트웨어
폴라리스오피스,시스템 소프트웨어,'소프트웨어 개발 및 공급업',소프트웨어
한글과컴퓨터,오피스소프트웨어,'소프트웨어 개발 및 공급업',소프트웨어
슈어소프트테크,소프트웨어 자동화 검증 플랫폼,'소프트웨어 개발 및 공급업',소프트웨어
다날,모바일콘텐츠 및 유무선전화결제,'소프트웨어 개발 및 공급업',소프트웨어
KG이니시스,전자지불서비스,'소프트웨어 개발 및 공급업',소프트웨어
알체라,"얼굴인식 AI, 이상상황 감지 AI 등",'소프트웨어 개발 및 공급업',소프트웨어
코나아이,"전자화폐, 단말기, 수집/정산시스템",'소프트웨어 개발 및 공급업',소프트웨어
한국정보인증,"공인인증서, PKI솔루션 등",'소프트웨어 개발 및 공급업',소프트웨어
가비아,"도메인,호스팅",'소프트웨어 개발 및 공급업',소프트웨어
이스트소프트,"온라인게임(카발온라인),알툴즈S/W,스토리지S/W",'소프트웨어 개발 및 공급업',소프트웨어
쿠콘,"페이먼트서비스(65.2%), 데이터서비스(29.1%) 등",'소프트웨어 개발 및 공급업',소프트웨어
딥노이드,"의료 인공지능플랫폼, 인공지능 임상의사결정 시스템",'소프트웨어 개발 및 공급업',소프트웨어
KG모빌리언스,유무선전화결제서비스,'소프트웨어 개발 및 공급업',소프트웨어
MDS테크,"임베디드개발솔루션,임베디드소프트웨어",'소프트웨어 개발 및 공급업',소프트웨어
웹케시,"에스이알피, 브랜치, 인하우스",'소프트웨어 개발 및 공급업',소프트웨어
맥스트,AR 개발 플랫폼/AR솔루션,'소프트웨어 개발 및 공급업',소프트웨어
마음AI,종합 인공지능 엔진 및 플랫폼,'소프트웨어 개발 및 공급업',소프트웨어
알서포트,"원격지원,제어 솔루션",'소프트웨어 개발 및 공급업',소프트웨어
엑셈,"DB, E2E 성능관리 SW",'소프트웨어 개발 및 공급업',소프트웨어
라온피플,"카메라 모듈 검사기, AI 머신비전, 골프센서",'소프트웨어 개발 및 공급업',소프트웨어
버넥트,산업용 XR 솔루션,'소프트웨어 개발 및 공급업',소프트웨어
이노시뮬레이션,"스마트 모빌리티 시뮬레이터, XR 가상훈련 시스템 등",'소프트웨어 개발 및 공급업',소프트웨어
갤럭시아머니트리,전자결제,'소프트웨어 개발 및 공급업',소프트웨어
라온시큐어,소프트웨어 개발 및 공급,'소프트웨어 개발 및 공급업',소프트웨어
케이사인,nan,'소프트웨어 개발 및 공급업',소프트웨어
오브젠,CRM 소프트웨어,'소프트웨어 개발 및 공급업',소프트웨어
원티드랩,채용 플랫폼,'소프트웨어 개발 및 공급업',소프트웨어
비즈니스온,전자세금계산서 발행서비스(스마트빌),'소프트웨어 개발 및 공급업',소프트웨어
투비소프트,"MiPlatform, X Platform",'소프트웨어 개발 및 공급업',소프트웨어
씨유박스,"AI얼굴인식 시스템, AI얼굴인증 솔루션, AI 객체인식 솔루션, AI데이터 플랫폼",'소프트웨어 개발 및 공급업',소프트웨어
오상자이엘,CATIA Solution,'소프트웨어 개발 및 공급업',소프트웨어
한국전자인증,"개인용이메일 보안,인증업무,전자상거래관련 인증서비스/기업용 인증솔루션 제공",'소프트웨어 개발 및 공급업',소프트웨어
핑거,"스마트 금융 플랫폼, 핀테크 금융 솔루션",'소프트웨어 개발 및 공급업',소프트웨어
파수,기업용 문서보안 솔루션,'소프트웨어 개발 및 공급업',소프트웨어
