Company,items,industry
삼성전기,"['수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판']",['전자부품 제조업']
LG이노텍,['기타 전자부품 제조업'],['전자부품 제조업']
이수페타시스,"['P.C.B(인쇄회로기판),M.L.B 제조']",['전자부품 제조업']
롯데에너지머티리얼즈,"['인쇄회로기판(PCB)용 전해동박(ACF,UCF),에폭시용 동박,전해콘덴서용 알루미늄박 제조,판매']",['전자부품 제조업']
솔루엠,"['POWER, 3in1 Board, ESL 등']",['전자부품 제조업']
대덕전자,"['PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매']",['전자부품 제조업']
대주전자재료,"['전도성페이스트,태양전지 페이스트,고분자재료,PIG,이차전지용음극재료']",['전자부품 제조업']
파크시스템스,['연구용 및 산업용 원자현미경'],"['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
고영,['전자제품및반도체생산용 3차원 납도포검사장비'],['특수 목적용 기계 제조업']
심텍,['반도체용 인쇄회로기판'],['전자부품 제조업']
에스티큐브,"['전자부품, 정보통신기기, 지능형로봇외']",['기계장비 및 관련 물품 도매업']
윤성에프앤씨,['2차전지용 믹싱시스템'],['특수 목적용 기계 제조업']
이엠텍,"['마이크로스피커,리시버']",['전자부품 제조업']
비에이치,['FPCB (연성인쇄회로기판)'],['전자부품 제조업']
인텔리안테크,"['위성통신 안테나, 해상용 위성방송 수신안테나']",['통신 및 방송 장비 제조업']
솔루스첨단소재,"['동박, 유압기기 등']",['전자부품 제조업']
하나기술,['이차전지 양산 자동화 설비 제조'],['특수 목적용 기계 제조업']
서진시스템,"['통신장비부품,휴대폰부품(메탈케이스 등)']",['통신 및 방송 장비 제조업']
자화전자,"['Bonded magenet,플라스틱자성제품,티탄산 바륨계 반도체소자,휴대전화용 Vibration Motor,전자관,전자부품 제조']",['전자부품 제조업']
엠씨넥스,"['모바일 카메라모듈,전장 카메라모듈,블랙박스,IP 카메라']",['영상 및 음향기기 제조업']
리튬포어스,"['휴대폰액세서리의 제조, 판매']",['그외 기타 제품 제조업']
인탑스,"['휴대용단말기 부품, 가전 부품, 자동차 부품, 의료기기 제품, 로봇 관련 제품 제조 등']",['통신 및 방송 장비 제조업']
파트론,"['카메라모듈, 안테나, 센서류 등']",['전자부품 제조업']
RFHIC,['GaN 트랜지스터'],['통신 및 방송 장비 제조업']
케이엠더블유,['RF 부품 및 중계기'],['통신 및 방송 장비 제조업']
드림텍,"['모바일 PBA, 지문인식 모듈, 전장 LED 모듈 등']",['전자부품 제조업']
KH바텍,"['휴대폰부품(SHIELD, BRACKET)']",['전자부품 제조업']
파워로직스,"['2차전지 보호회로 및 배터리팩, 카메라모듈']","['전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업']"
쏠리드,"['이동통신중계기,위성DMB용중계기']",['통신 및 방송 장비 제조업']
하이비젼시스템,['카메라모듈 제조검사용 장비'],['사진장비 및 광학기기 제조업']
이브이첨단소재,['연성회로기판'],['전자부품 제조업']
시노펙스,"['전자부품, 필터']",['전자부품 제조업']
파인엠텍,['IT부품'],['전자부품 제조업']
상아프론테크,"['LCD부품,사무기기부품,PCB부품,2차전지부품']",['플라스틱제품 제조업']
이랜텍,['Battery Pack'],['전자부품 제조업']
에치에프알,['유선 및 무선통신장비 제조 및 제조서비스'],['통신 및 방송 장비 제조업']
유티아이,['카메라 윈도우'],['전자부품 제조업']
상신이디피,['2차전지부품'],['일차전지 및 축전지 제조업']
중앙디앤엠,['PVC샤시'],['플라스틱제품 제조업']
탑머티리얼,"['이차전지 시스템 엔지니어링, 전극소재, 양극소재']",['일차전지 및 축전지 제조업']
신도리코,"['복사기, 3D프린터, 프린터, 주변기기 제조,판매']",['컴퓨터 및 주변장치 제조업']
코리아써키트,"['인쇄회로기판,Module 제조/부동산(건물) 임대']",['전자부품 제조업']
아이티엠반도체,['배터리 보호회로'],['전자부품 제조업']
영풍,"['제1차 금속산업(아연괴,황산,카드뮴괴),건전지 제조,무역']",['1차 비철금속 제조업']
한솔테크닉스,"['백라이트유닛,인버터,폴리바리콘,모니터,통신장비 제조']",['전자부품 제조업']
나노팀,['전기차용 방열제품'],['일반 목적용 기계 제조업']
코아시아,['LED패키지'],['반도체 제조업']
필옵틱스,['디스플레이 및 반도체 제조공정용 제작'],['특수 목적용 기계 제조업']
나무가,"['스마트폰 카메라모듈, 노트북 카메라모듈']",['전자부품 제조업']
