Company,items,industry
LG디스플레이,['액정표시장치(TFT-LCD) 제조'],['전자부품 제조업']
LX세미콘,['Display Driver IC'],['반도체 제조업']
이녹스첨단소재,"['FPCB소재, 반도체 및 디스플레이 소재']",['전자부품 제조업']
서울반도체,"['Display, Chip LED, Lamp']",['반도체 제조업']
덕산네오룩스,"['HTL(정공수송층), HIL(정공주입층), RED HOST']",['전자부품 제조업']
디이엔티,['FPD공정검사장비'],['특수 목적용 기계 제조업']
미래나노텍,['LCDBLU용광학필름'],['플라스틱제품 제조업']
티로보틱스,"['중대형 시스템, 중대형 로봇']",['특수 목적용 기계 제조업']
AP시스템,['디스플레이 제조 장비'],['특수 목적용 기계 제조업']
아나패스,['Timing Controller(TCON)'],['반도체 제조업']
토비스,['Gaming모니터'],['영상 및 음향기기 제조업']
미래컴퍼니,['EdgeGrinder'],['특수 목적용 기계 제조업']
톱텍,['디스플레이 자동화설비'],['특수 목적용 기계 제조업']
HB테크놀러지,['TFT-LCD검사장비'],['특수 목적용 기계 제조업']
아바코,['평판디스플레이제조용장비'],['특수 목적용 기계 제조업']
와이투솔루션,"['혼성직접회로,통신기기 제조/화공약품,케이블 도매']",['반도체 제조업']
엔젯,"['EHD 잉크젯 프린터, EHD 코터']",['특수 목적용 기계 제조업']
아바텍,"['Glass Slimming & ITO코팅 제품, PDP필터']",['전자부품 제조업']
아이씨디,"['건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입']",['특수 목적용 기계 제조업']
덕산테코피아,"['OLED 소재, 반도체 소재']",['기타 화학제품 제조업']
케이피에스,['OLED 마스크 인장기'],['특수 목적용 기계 제조업']
케이엔제이,"['Edge Grinder, CVD-SiC Ring']",['반도체 제조업']
피엔에이치테크,['OLED 소재'],['기초 화학물질 제조업']
디에스케이,"['FPD(Flat Panel Display 평판디스플레이)용 Bonding System 및 In-line System, 카메라모듈장비, 이차전지장비, 메카트로닉스 사업군']",['특수 목적용 기계 제조업']
DMS,['LCD 제조장비'],['특수 목적용 기계 제조업']
선익시스템,['OLED 증착장비'],['특수 목적용 기계 제조업']
비아트론,['AMOLED 등 제조장비'],['특수 목적용 기계 제조업']
디아이티,['평판디스플레이 검사장비'],['특수 목적용 기계 제조업']
상보,"['광학필름,윈도우필름,미디어필름']",['플라스틱제품 제조업']
HB솔루션,"['디스플레이 제조용 장비(도포기, 조립기, 검사기)']",['특수 목적용 기계 제조업']
오성첨단소재,"['보호, 기능성 필름']",['플라스틱제품 제조업']
와이엠씨,"['FPD 패널용 Target, Backing Plate 등']",['전자부품 제조업']
제이스텍,['기계장비(디스플레이장비)'],['특수 목적용 기계 제조업']
코텍,['산업용 모니터'],['영상 및 음향기기 제조업']
핌스,['OLED Metal Mask'],['전자부품 제조업']
야스,"['OLED 증착기, OLED 증착원']",['특수 목적용 기계 제조업']
아이엘사이언스,['LED용 실리콘렌즈 외'],['전구 및 조명장치 제조업']
디바이스이엔지,['OLED용 FM MASK 세정장비'],['특수 목적용 기계 제조업']
우리바이오,['건강기능식품 개발 제조 및 스마트팜 연구개발'],['전구 및 조명장치 제조업']
에스엔유,"['OLED증착장비, OLED봉지장비, LCD검사장비 등']",['특수 목적용 기계 제조업']
서울바이오시스,"['Visible LED, UV LED']",['반도체 제조업']
위지트,['LCD 반도체'],['특수 목적용 기계 제조업']
신화인터텍,['디스플레이 BLU용 광학필름'],['플라스틱제품 제조업']
포인트엔지니어링,['디스플레이 및 반도체 장비 부품'],['기타 금속 가공제품 제조업']
루멘스,['LED개발 및 제조'],['반도체 제조업']
이라이콤,['TFT-LCD용 Back Light Unit'],['상품 중개업']
에프엔에스테크,"['OLED, LCD 제조 공정 장비']",['특수 목적용 기계 제조업']
소룩스,"['실내등(형광등, LED등), 실외등, 특수등']",['전구 및 조명장치 제조업']
엘티씨,['FPD(LCD/OLED) 및 반도체용 박리액'],['기초 화학물질 제조업']
트윔,['AI 기반 스마트팩토리 검사 소프트웨어 및 설비'],['소프트웨어 개발 및 공급업']
동아엘텍,['LCD검사장비'],['특수 목적용 기계 제조업']
풍원정밀,['OLED 증착용 Metal Mask'],['전자부품 제조업']
클라우드에어,['LED패키지'],['반도체 제조업']
나래나노텍,"['디스플레이 장비 (포토, 코팅, 모듈 장비)']",['특수 목적용 기계 제조업']
베셀,['디스플레이 제조장비'],['특수 목적용 기계 제조업']
인지디스플레,"['TFT-LCDCHASSIS,TFT-LCDLAMPREFLECTOR,ICLEADFRAME,TRLEADFRAME']",['전자부품 제조업']
힘스,"['OLED Mask 인장기, OLED Mask 검사기 등']",['특수 목적용 기계 제조업']
파인텍,['OLED 제조장비'],['특수 목적용 기계 제조업']
영우디에스피,['OLED/LCD 디스플레이 검사장비'],['특수 목적용 기계 제조업']
에스에이티이엔지,['기업인수목적회사'],['특수 목적용 기계 제조업']
