Company,items,industry
삼성전자,"['통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등']",['통신 및 방송 장비 제조업']
SK하이닉스,"['반도체,컴퓨터,통신기기 제조,도매']",['반도체 제조업']
SK스퀘어,['지주회사'],['기타 금융업']
DB하이텍,['반도체 제조'],['반도체 제조업']
한미반도체,"['반도체 후공정장비,반도체금형 제조/부동산 매매,임대']",['특수 목적용 기계 제조업']
리노공업,"['리노핀, 반도체 소켓 등']",['전자부품 제조업']
이오테크닉스,['레이저 마커 및 레이저 응용기기'],['특수 목적용 기계 제조업']
동진쎄미켐,"['반도체,LCD용재료(감광제,봉지제),발포제']",['기초 화학물질 제조업']
솔브레인,['반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등'],['기타 화학제품 제조업']
원익IPS,['반도체 제조용 기계'],['특수 목적용 기계 제조업']
파두,['SSD 컨트롤러'],['반도체 제조업']
ISC,['반도체테스트소켓'],['기계장비 및 관련 물품 도매업']
주성엔지니어링,['LP CVD'],['특수 목적용 기계 제조업']
에스앤에스텍,['블랭크마스크'],['전자부품 제조업']
하나마이크론,"['반도체패키징,IOT']",['반도체 제조업']
HPSP,['고압 수소 어닐링 장비'],['특수 목적용 기계 제조업']
해성디에스,['반도체 패키지용 Substrate'],['전자부품 제조업']
넥스틴,['반도체 전공정용 패턴결함 검사장비(AEGIS 등)'],['특수 목적용 기계 제조업']
두산테스나,['반도체 테스트'],"['그외 기타 전문, 과학 및 기술 서비스업']"
하나머티리얼즈,"['실리콘부품, 세라믹부품, 특수가스']",['반도체 제조업']
유진테크,['실리콘질화막증착용LP-CVD'],['특수 목적용 기계 제조업']
원익QnC,['반도체용 석영유리'],['유리 및 유리제품 제조업']
피에스케이홀딩스,"['Descum, Reflow']",['특수 목적용 기계 제조업']
티씨케이,['반도체 제조공정용 고순도 흑연제품'],['기타 비금속 광물제품 제조업']
젬백스,"['ChemicalAirFilter,GasScrubber']",['특수 목적용 기계 제조업']
신성이엔지,"['태양전지, 태양광모듈 제조 및 판매, 태양광 발전설치공사, 클린룸, 자동화장비']",['반도체 제조업']
동운아나텍,['아날로그 반도체'],['반도체 제조업']
SFA반도체,"['반도체패키지(SOP,DIP,QFP)']",['반도체 제조업']
피에스케이,"['드라이스트립, 드라이클리닝']",['특수 목적용 기계 제조업']
코미코,['반도체 부품 세정 및 코팅'],['특수 목적용 기계 제조업']
인텍플러스,"['LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등']",['특수 목적용 기계 제조업']
에프에스티,"['펠리클(반도체부품), 칠러장비, 반도체유통']",['전자부품 제조업']
네패스,['반도체및TFT-LCD용현상액'],['반도체 제조업']
엘오티베큠,['반도체제조용진공펌프'],['특수 목적용 기계 제조업']
오픈엣지테크놀로지,['시스템 반도체 IP'],['소프트웨어 개발 및 공급업']
미코,['반도체 및 디스플레이 부품 제조'],['반도체 제조업']
프로텍,"['Dispenser, Tray Feeder, 공압실린더']",['특수 목적용 기계 제조업']
에스티아이,"['Chemical 중앙공급시스템(C.C.S.S), 세정·식각시스템']",['특수 목적용 기계 제조업']
테스,['반도체장비(화학증착장비)'],['특수 목적용 기계 제조업']
월덱스,['반도체용링및전극'],['전자부품 제조업']
제우스,['LCD제조용장비'],['특수 목적용 기계 제조업']
예스티,['반도체 및 디스플레이 제조 장비'],['특수 목적용 기계 제조업']
기가비스,['반도체 기판용 광학검사 및 수리장비'],['특수 목적용 기계 제조업']
에이디테크놀로지,['주문형 반도체'],['반도체 제조업']
에이피티씨,['300mm Poly Etch System'],['특수 목적용 기계 제조업']
티이엠씨,['반도체용 특수가스'],['기초 화학물질 제조업']
KEC,['반도체 제조'],['반도체 제조업']
칩스앤미디어,['비디오 IP'],['반도체 제조업']
유니테스트,"['반도체메모리주검사장비생산(메모리컴포넌트테스터,메모리모듈테스트)']",['특수 목적용 기계 제조업']
디엔에프,['반도체배선박막재료(알루미늄전구체)'],['기타 화학제품 제조업']
케이씨텍,"['반도체, 디스플레이 제조 장비']","['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
유니퀘스트,"['반도체직접회로 도매,무역,제조']",['기계장비 및 관련 물품 도매업']
텔레칩스,"['디지털미디어프로세서,발신자정보표시칩']",['반도체 제조업']
테크윙,"['반도체테스트핸들러,C.O.K(Change Over Kit)']",['특수 목적용 기계 제조업']
이엔에프테크놀로지,['LCD/반도체용 케미칼'],['기타 화학제품 제조업']
케이알엠,['멀티미디어반도체'],['반도체 제조업']
아이텍,['비메모리 반도체 테스트'],"['그외 기타 전문, 과학 및 기술 서비스업']"
LB세미콘,"['골드범핑, 솔더범핑 등']",['반도체 제조업']
엠케이전자,['반도체용세금선'],['전자부품 제조업']
유니셈,['반도체장비(DryGasScrubber)'],['특수 목적용 기계 제조업']
티에스이,"['Probe Card, Test Interface Board, LED Test Equipment']","['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
가온칩스,['설계 솔루션 및 주문형 반도체'],['반도체 제조업']
라온텍,"['마이크로디스플레이, 컨트롤러 IC']",['전자부품 제조업']
GST,"['GasScrubber,Chiller']",['특수 목적용 기계 제조업']
한솔아이원스,"['반도체 장비 부품 제조 및 세정, LCD 장비 부품 제조']",['특수 목적용 기계 제조업']
미래산업,"['PCB마운터,반도체검사장비(반도체테스트핸들러),LCD 검사장비,리드프레임매가진 제조,도매,무역']","['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
HLB이노베이션,['리드프레임'],['전자부품 제조업']
뉴파워프라즈마,['플라즈마 세정기(Remote Plasma Cleaning Generator)'],['특수 목적용 기계 제조업']
케이씨,['가스/Chemical 공급 장치 등 제조 및 판매'],"['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
원익홀딩스,['가스캐비닛'],['특수 목적용 기계 제조업']
디아이,"['반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업']","['측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외']"
제주반도체,"['모바일용 LP DDR SDRAM, CRAM, SRAM']",['반도체 제조업']
어보브반도체,"['반도체,전자제품,마이크로컨트롤라']",['반도체 제조업']
에이엘티,['반도체 테스트 및 패키징(반도체 후공정)'],['반도체 제조업']
하이딥,['UIUX Solution'],['반도체 제조업']
매커스,['자일링스(Xilinx)비메모리반도체(PLDchip)유통'],['기계장비 및 관련 물품 도매업']
덕산하이메탈,['솔더볼(Solderball)'],['반도체 제조업']
넥스트칩,"['차량 및 자율주행차용 비메모리 반도체(ISP, AHD, ADAS/AD)']",['반도체 제조업']
알에프세미,"['ECM, DIODE, LED Light']",['반도체 제조업']
오션브릿지,"['반도체 케미칼 및 특수가스, 반도체 장비']",['특수 목적용 기계 제조업']
에이팩트,['메모리 반도체 테스트'],"['그외 기타 전문, 과학 및 기술 서비스업']"
엑시콘,['반도체 검사장비'],['특수 목적용 기계 제조업']
미래반도체,['반도체'],['기타 전문 도매업']
싸이맥스,"['웨이퍼 이송장치(Cluster Tool, EFEM, LPM 등)']",['특수 목적용 기계 제조업']
와이아이케이,['메모리 웨이퍼 테스터'],['특수 목적용 기계 제조업']
코세스,['반도체SolderBall부착장비등'],['특수 목적용 기계 제조업']
오킨스전자,['반도체 검사용 소켓'],['전자부품 제조업']
윈팩,['반도체 패키징 및 테스트'],['반도체 제조업']
한양디지텍,['메모리 모듈'],['반도체 제조업']
엔투텍,['반도체장비 부품 제조업'],['특수 목적용 기계 제조업']
씨앤지하이테크,"['약액혼합공급장치, 화학약품재생장치']",['특수 목적용 기계 제조업']
비씨엔씨,['반도체용 합성쿼츠 포커스링'],['반도체 제조업']
