Company,items,industry,중분류
삼성에스디에스,"IT서비스, 물류BPO","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
카카오페이,"간편결제, 간편송금 및 기타 금융서비스",'금융 지원 서비스업',IT서비스
포스코DX,"SI(System Integration), DVR(Digital Video Recorder)","'건축기술, 엔지니어링 및 관련 기술 서비스업'",IT서비스
더존비즈온,응용 소프트웨어 개발 및 공급업,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
카페24,"쇼핑몰솔루션, 광고솔루션, 호스팅솔루션","'자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업'",IT서비스
NICE,"기업신용분석,유가증권등급평정,기업정보,긍융정보,경제정보,소비자신용정보 제공,시장조사,사회여론조사,점외 CD/ATM사업",'회사 본부 및 경영 컨설팅 서비스업',IT서비스
DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
케이아이엔엑스,인터넷연동서비스 등,"'자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업'",IT서비스
대아티아이,"EDMS(Enterprise Document Management System)-전사적문서관리시스템,KMS-지식경영시스템",'기타 전기장비 제조업',IT서비스
율호,무선인터넷플랫폼,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
신세계,"백화점,할인점(E마트)",'종합 소매업',IT서비스
롯데정보통신,"SM, SI","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
헥토이노베이션,휴대폰부가서비스,'기타 정보 서비스업',IT서비스
한국전자금융,"ATM관리사업,CD-VAN사업",'기타 사업지원 서비스업',IT서비스
APS,인터넷 트래픽 솔루션,'기타 금융업',IT서비스
에스트래픽,"교통관련 솔루션 개발, 시스템통합 S/W 개발","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
윈스,"네크워크보안장비(IPS, 안티 DDoS)","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
헥토파이낸셜,"가상계좌중계, 간편현금결제",'기타 정보 서비스업',IT서비스
오비고,스마트카 소프트웨어 플랫폼,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
오파스넷,네트워크 구축 및 유지보수,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
콤텍시스템,"시스템(네트웍) 구축/데이터통신장비(모뎀,먹스),종합네트워크시스템 제조,설치,유지보수","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
에스넷,"네트워크장비 설치 및 납품, 유지보수","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
소프트센,전산기기 및 정보통신공사,'기타 정보 서비스업',IT서비스
인포뱅크,"모바일메시징서비스,휴대폰단말기용S/W개발용역",'기타 정보 서비스업',IT서비스
큐로컴,"시스템통합, 지능형교통시스템","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
이글루,"통합보안관리솔루션, 보안관제서비스",'기타 정보 서비스업',IT서비스
에프앤가이드,"금융정보서비스, INDEX, 펀드평가 등",'기타 정보 서비스업',IT서비스
케이엘넷,EC/EDI,'전기 통신업',IT서비스
한국정보통신,"신용카드부가통신업(VAN),전자지급결제대행업(PG)",'전기 통신업',IT서비스
대신정보통신,"디지털서비스, SI서비스, 산업용 PDA","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
링네트,네트워크 구축(Network Integration),"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
쌍용정보통신,"클라우드,시스템통합(SI),네트워크 설계 및 구축,시스템운영(SM)","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
인포바인,휴대폰인증서보관서비스(UBIKey),'전기 통신업',IT서비스
시티랩스,"용역서비스(ITS,BIS,ATMS,BRT)","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
미래아이앤지,"CCTV, DVR제조, 금융솔루션, 방산제품","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
한네트,"현금서비스, 예금인출",'전기 통신업',IT서비스
유엔젤,"소프트웨어(무선인터넷 솔루션,ASP통신사업자용 지능망솔루션 및 단문메세지센터) 개발,공급","'자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업'",IT서비스
아시아나IDT,"IT 서비스, IT 솔루션","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
데이타솔루션,"EMC스토리지, SPSS, SI",'기계장비 및 관련 물품 도매업',IT서비스
이씨에스,"컨택센터용교환시스템,업무용교환시스템","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
정원엔시스,"SI(시스템통합) 관련 소프트웨어, 중.대형 고속 레이져 프린터",'기계장비 및 관련 물품 도매업',IT서비스
디모아,"h/w,s/w개발",'기타 전문 도매업',IT서비스
리노스,"TRS통신, Kipling Bag외","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
케이씨에스,컴퓨터시스템 통합 구축 및 철도 도로 교통인프라,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
이삭엔지니어링,공장자동화 설비제어,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
텔코웨어,"소프트웨어(핵심망솔루션,무선데이터솔루션,요소기술) 개발,유지보수,무역","'자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업'",IT서비스
플랜티넷,유해사이트차단서비스,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
솔트웨어,enView,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
비츠로시스,"원방감시제어시스템, 분산제어시스템","'전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업'",IT서비스
벨로크,"보안솔루션,보안서비스","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
한솔인티큐브,기업통신 및 무선인터넷,"'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
엠브레인,온라인 및 오프라인 리서치,'시장조사 및 여론조사업',IT서비스
로지시스,"전산장비 판매 및 유지보수, VAN기기 대행관리","'컴퓨터 프로그래밍, 시스템 통합 및 관리업'",IT서비스
