Company,items,industry,description
녹십자홀딩스,"알부민,유로키나제,간염백신,유행성출혈열백신 제조",회사 본부 및 경영 컨설팅 서비스업,"기업개요
동사는 지주회사에 대한 사업목적을 승인 받아 생명공학 및 헬스케어 관련 기업을 사업자회사로 둔 지주회사 체제로 경영시스템을 전환하였음.
동사는 전체 경영전략 수립과 조정, 신규 전략사업의 진출, 출자자산의 포트폴리오 관리 등을 담당하고 있으며, 의약품의 제조 판매 등 실제 사업은 각 자회사가 수행하고 있음.
동사의 지주회사 경영시스템은 주력 자회사인 녹십자를 필두로 국내 28개, 해외 17개, 총 45개의 계열회사를 두고 있음.
출처 : 에프앤가이드"
명문제약,"의약품(ROBAXIN 주사,KIMITE패취) 제조,판매",의약품 제조업,"기업개요
동사는 1983년에 설립되어 의약품 제조 및 판매를 주 목적사업으로 하고 있으며 2008년 7월 유가증권시장에 상장됨.
국내 최초 경피흡수제형인 패취제인 '키미테'를 국내 시장에 소개해 멀미약으로 대중적 인지도를 높였고 인구고령화에 발맞춘 고혈압, 당뇨 등의 제품들을 출시함.
서비스 사업부문에서는 골프장, 부동산 개발 등을 영위하는 '명문투자개발'을 종속회사로 보유하고 있음.
출처 : 에프앤가이드"
보령,"의약품(제산제(겔포스),구심,용각산,고혈압치료제(카프릴),소염진통제(멘소레담),항생제(듀리세프),혈전치료제(아스트릭스)) 제조",의약품 제조업,"기업개요
동사는 전문의약품(ETC) 사업에서 고혈압, 이상지질혈증, 당뇨, CNS, 항암제 질환군과 관련한 의약품 사업을 영위하며 항암제 질환군과 관련해서는 오리지널 제품 브랜드의 인수와 도입을 진행 중임.
안산공장과 예산공장의 우수한 전문 생산시설의 가동률을 높이고 매출 및 이익에 기여하기 위해 수탁생산을 실시하는 사업부문을 보유함.
일반의약품 사업으로는 겔포스와 용각산을 주력으로 함.
출처 : 에프앤가이드"
삼성제약,"의약품(까스명수,쓸기담,에프킬라에어졸,액체우황청심원) 제조,도매",의약품 제조업,"기업개요
동사는 의약품 제조 및 판매업, 바이오사업, 건강식품 제조 및 판매업을 영위하고 있음.
주요제품으로는 까스명수, 쓸기담, 우황청심원현탁액, 판토에이등이 있으며, 노인성 질환 전문의약품 강화를 목적으로 신제품 발매 및 허가를 진행하고 있음.
전문의약품의 경우 항생제. 전립선치료제 등 80여개의 다양한 제품군을 바탕으로 판매대행을 활용한 마케팅 및 영업활동을 진행함.
출처 : 에프앤가이드"
제일약품,의약품,의약품 제조업,"기업개요
동사는 2017년 6월 1일에 제일파마홀딩스 주식회사(구 제일약품 주식회사)로부터 인적분할되어 설립된 분할신설회사임.
동사는 혁신신약 및 개량신약 개발에 집중적으로 투자하고 있음. 현재 박사급 12명(중앙연구소 10명, 제제기술연구소 2명), 석사급 60명 등 총 114명의 연구개발 관련 인력을 보유하고 있음.
주요 제품은 넥실렌, 란스톤 캡슐, 클로피린 캡슐, 티에스원 캡슐 등임.
출처 : 에프앤가이드"
제일파마홀딩스,"의약품(타리비드,제일파프,노엘,푸라솔) 제조,도매",회사 본부 및 경영 컨설팅 서비스업,"기업개요
동사는 2017년 인적분할을 하였고, 분할전회사인 제일약품이 보유한 자회사 및 관계회사 지분 모두를 보유하며 이에 따른 지분법이익 및 자회사 관리 그리고 투자자산에 대한 임대업을 주된 영업으로 하고 있음.
종속회사 제일약품의 주요제품은 리피토, 리리카, 쎄레브렉스, 뉴론틴 캡슐 등이며, 제일헬스사이언스의 주요제품은 케펜텍, 한방파프수 등이 있음.
종속회사 제일앤파트너스는 제일약품의 완제의약품의 판매대행을 주된 영업으로 하고 있음.
출처 : 에프앤가이드"
종근당홀딩스,"의약품(항생제,위궤양치료제,장기이식면역억제제,고지혈증치료제(로바이드)) 제조,도매",의약품 제조업,"기업개요
동사는 투자사업부문을 담당하는 (주)종근당홀딩스(존속법인)와 의약사업부문의 (주)종근당(신설법인)으로 2013년 11월 2일 인적분할을 통해 지주회사 체제로 전환.
당분기말 현재 공정거래법상의 자회사 요건을 만족하는 회사는 (주)종근당, (주)경보제약,(주)종근당바이오 등 총 8개 회사가 있음.
동사의 매출액은 경영자문료, 브랜드사용료, 배당금수익 등으로 구성되어 있음.
출처 : 에프앤가이드"
한미사이언스,"항생제(세포탁심,세포트리악손),유산균정장제(메디락비타,메디락베베),위장관운동조절개선제(설프라이드),고혈압치료제(유니바스크),원료의약품,식품 제조,판매",기타 금융업,"기업개요
동사는 사업형 지주회사로서 자회사의 지분이익, 특허권 및 상표권 사용료 수입, 계열사 관리 등을 통해 자체적으로 수익을 창출하고 있으며, 이를 기반으로 신약개발의 리스크 분담, 중장기 비전 수립 등에 매진.
연결회사의 영업부문은 지주부문, 의약품도매부문, 기타부문으로 구성됨.
HMP몰과 같은 온라인 거래 플랫폼과 300여명의 약국 영업 인프라를 바탕으로 전국 약국에 약품을 공급하고 있음.
출처 : 에프앤가이드"
CJ 바이오사이언스,"생명정보 플랫폼, 마이크로바이옴 분석 서비스",자연과학 및 공학 연구개발업,"기업개요
동사는 2009년 설립되어 2019년 코스닥시장에 상장하며 마이크로바이옴 치료제 신약개발과 마이크로바이옴 생명정보 분석서비스 및 마이크로바이옴 기반 맞춤형 헬스케어 사업을 영위함.
생명정보 분석핵심 역량과 BT/IT 융합 기술을 보유한 유전체 빅데이터 기반의 마이크로바이옴 플랫폼기업임.
주요 제품으로는 'EzBioCloud 플랫폼', 'NGS/BI 통합 솔루션', 'TrueBac ID' 등이 있음.
출처 : 에프앤가이드"
강스템바이오텍,줄기세포치료제,기초 의약물질 및 생물학적 제제 제조업,"기업개요
동사 및 종속회사 사업부문은 줄기세포, 화장품, 바이오파마, 비임상시험 등임.
동사의 줄기세포 사업은 자체 개발한 다분화능을 가진 줄기세포를 인간 제대혈로부터 고순도로 분리하고, 대량배양하는 기술을 기반으로 동종 제대혈 유래 줄기세포치료제(의약품) 연구개발을 주요 사업으로 영위하고 있음.
화장품 사업은 동사의 줄기세포 배양액을 기반으로 한 제품을 위주로 판매하고 있으며, 온라인유통망을 강화함.
출처 : 에프앤가이드"
