Company,items,industry,description
SNT다이내믹스,"자동차부품(동력전달장치 등),공작기계(CNC선반 등),사출성형기 제조",자동차 신품 부품 제조업,"기업개요
지배회사인 동사는 운수장비사업과 기계사업으로 구분되며 운수장비사업은 방위산업제품(방산용 변속기 및 총화포 등), 차량부품(변속기, 차축 등)으로 구분됨.
기계사업은 공작기계, 산업설비사업은 공랭식열교환기로 구분되어 있으며, 다년간 축적된 기술과 경험으로 우수한 제품을 생산 공급하고 있음.
운수장비 및 기계부문에서 판매방법은 내수판매와 로컬수출, 직수출, 대리점 판매로 이루어짐.
출처 : 에프앤가이드"
메타랩스,"여성용 의류(캐쥬얼티셔츠,바지) 제조",봉제의복 제조업,"기업개요
동사는 2000년 11월 3일 설립되어 2006년 유가증권시장에 상장하였으며 2018년 3월 30일 '메타랩스'로 상호를 변경함.
인수합병을 통해 기존 오프라인 패션사업에서 온라인 패션 및 코스메슈티컬 등으로 사업부문을 다각화하여 헬스케어 기업으로 사업체질을 변경함.
메타케어, 테크랩스를 포함한 2개의 비상장사를 계열회사로 두고 있으며, 계열회사는 MSO/헬스케어, 코스메슈티컬, O2O 사업 등을 하고 있음.
출처 : 에프앤가이드"
삼성공조,"자동차부품(라디에터,오일쿨러) 제조,판매",자동차 신품 부품 제조업,"기업개요
연결실체는 법률상 당사와 한국내 3개사 및 해외 4개사 등 7개의 종속회사로 구성되어 있음.
사업부문별로는 자동차부품사업 소속 5개사, 기타사업부문 소속 3개사(사업중단중인 청산예정기업 3개사)로 구분되고 있음.
연결실체는 자동차부품의 제조 및 판매를 주사업목적으로 50여년의 업력을 이어온 지역대표 기업으로 주요제품으로는 라디에터, HVAC, 오일쿨러, 기타 자동차부품을 생산하고 있음.
출처 : 에프앤가이드"
삼성출판사,"서적 출판,인쇄,소매/부동산 임대","서적, 잡지 및 기타 인쇄물 출판업","기업개요
동사는 유아동 출판물을 주축으로 하여 영어교재(유치원, 초등학원) 및 성인교양물, 휴게소사업, 임대사업을 통해 사업을 영위하고 있음.
온오프라인서점과 소셜쇼핑 등의 도서코너를 통해 판매되는 상품군이 주를 이룸. 동사는 현재 유/아동 단행본 시장에서 독보적인 위치를 점하고 있음.
주요 종속회사로는 문구, 패션디자인 제품 및 사무용품을 제조하여 국내, 국외 직영, 체인 유통망을 통해 소비자에게 판매하는 아트박스가 있음.
출처 : 에프앤가이드"
신세계인터내셔날,"섬유, 의복, 신발 및 가죽제품 소매","섬유, 의복, 신발 및 가죽제품 소매업","기업개요
신세계 그룹 내 종합생활문화기업으로서 해외 유명 패션 브랜드를 국내에 직수입하여 우량 유통채널을 통해 판매하고, 여성복 등 캐주얼 브랜드, 라이프스타일 브랜드를 기획, 유통함.
해외 력셔리 및 자체 코스메틱 브랜드를 기획, 생산, 유통하는 코스메틱부문에서도 사업을 전개 중.
자체 패션 브랜드로 보브, 지컷, 델라라나, 일라일, 라이프스타일 브랜드로 JAJU가 있음. 코스메틱 사업에는 니치향수, 스위스퍼펙션, 뽀아레 등이 있음.
출처 : 에프앤가이드"
영화금속,"자동차부품,건축자재(관이음쇠) 제조,판매",자동차 신품 부품 제조업,"기업개요
1977년 설립 된 동사는 주물을 제조하여 자동차부품을 생산하고 있으며, 자동차부품의 상품을 구입해 판매하고 있음. 자동차 부품은 전체 매출의 대부분을 차지함.
2014년 자회사인 엔브이에프를 흡수합병해 자동차사업을 중심으로 경쟁력을 강화하고 있음.
완성차 업체의 지속적인 신차종 출시와 차량 보유대수의 증가에 따른 AS용 부품 수요의 확대, 해외 시장 확대 전략에 따라 수주 물량 비교적 안정적.
출처 : 에프앤가이드"
윌비스,"스웨터,니트,셔츠 도매,제조/컴퓨터주변기기 무역,오파,임대",생활용품 도매업,"기업개요
동사의 주요 사업은 섬유사업과 교육사업으로, 섬유사업은 1973년, 교육사업은 2008년부터 사업을 영위하고 있음.
각 사업의 매출비중은 현재 섬유사업 77%, 교육사업 23% 정도로 구성되어 있으며, 섬유부문은 주로 제품 수출, 교육부문은 내수로 매출이 발생함.
섬유사업의 주요 제품으로는 KNIT, 수영복이 있으며, 모든 제품은 종속회사인 해외법인 생산지(인도네시아, 캄보디아, 도미니카공화국, 아이티 등)에서 생산.
출처 : 에프앤가이드"
인지컨트롤스,"자동차부품(터머스위치,터머스탯) 제조",자동차 신품 부품 제조업,"기업개요
동사가 영위하고 있는 사업은 자동차부품의 제조 및 판매업으로서, 국내외의 완성차 업체에 부품을 제조하여 판매하고 있음.
동사는 재화와 용역의 성격, 이익 창출단위 등을 고려하여 경영의 다각화 실태를 적절히 반영할 수 있도록 자동차부품과 전자부품으로 세분화 함.
동사는 자동차 부품을 생산하는 업체로서 국내외 완성차 생산 및 판매 추이에 따라 매출에 많은 영향을 받고 있음.
출처 : 에프앤가이드"
코스맥스,화장품,기타 화학제품 제조업,"기업개요
동사는 1992년 설립된 한국을 대표하는 화장품 ODM 전문 기업으로, 화장품 ODM 매출 기준으로 전 세계에서 가장 큰 기업임.
국내 외 수많은 브랜드에 화장품을 공급하며, 주요 해외 고객으로 세계 최대 화장품 그룹인 L그룹을 비롯 글로벌 E그룹, S그룹 등에 제품을 공급함.
대표적인 제품은 젤 타입의 아이라이너와 쿠션 파운데이션으로, 젤 타입 아이라이너는 단일 품목으로는 최초로 4천만개 이상을 생산함.
출처 : 에프앤가이드"
토니모리,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등",기타 화학제품 제조업,"기업개요
동사는 2006년 7월 설립된 화장품 브랜드샵 전문기업으로 기초 및 색조 화장품 판매를 주요 사업으로 영위함.
동사와 11개의 연결회사를 통해 화장품, 건강기능식품, 반려동물 간식의 제조 및 판매와 신기술사업금융업을 영위함.
프랑스 '이브 비건'에서 인증받은 '백젤 아이라이너Z'와 100% 재활용 가능한 무라벨 용기를 사용한 제품을 출시하면서 친환경 가치 실천하고 있음.
출처 : 에프앤가이드"
