Company,items,industry,description
BNK금융지주,금융지주회사,기타 금융업,"기업개요
동사는 2011년 부산은행, BNK투자증권, BNK신용정보, BNK캐피탈이 공동으로 주식의 포괄적 이전 방식에 의해 설립한 지방은행 최초의 금융지주회사임.
2015년 경남은행의 계열사 편입으로 부산/경남은행 두 은행 체제가 되었음.
2015년에 GS자산운용(BNK자산운용 사명 변경)을 자회사로 편입하여 은행, 증권, 자산운용, 여신전문, 저축은행업 등을 포괄하는 종합금융그룹이 됨. 2019년 11월 BNK벤처투자 자회사 편입됨.
출처 : 에프앤가이드"
부국증권,"유가증권 매매,위탁매매,인수,주선",금융 지원 서비스업,"기업개요
1954년 설립되어 유가증권, 선물, 옵션의 매매 및 위탁매매, 금융상품의 판매 및 대출, 투자신탁 판매 등을 영위하는 중소형증권사임.
IB와 자기매매 및 운용부문에서 외형 대비 경쟁력을 갖추고 있음. 우량채권 위주의 트레이딩, 부동산 개발사업 관련 금융자문 및 주선, 채권 인수 및 주선 등의 IB사업에 집중함.
동사의 연결대상 종속회사로는 집합투자업을 영위하는 유리자산운용과 연결대상펀드들이 있음.
출처 : 에프앤가이드"
한화생명,생명보험,보험업,"기업개요
1946년 국내 최초 생명보험회사로 설립되었으며, 오랜 업력을 바탕으로 높은 브랜드 인지도를 보유하고 있음. 2012년 대한생명보험에서 한화생명으로 사명을 변경함.
가치중심 영업 추진을 통해 보장성상품 판매 확대, 상품 판매 속성 개선, 상품 수익성 제고에 집중하고 있음.
주요 연결대상 종속회사로 한화자산운용, 한화손해보험, 캐롯손해보험, 한화투자증권, 한화생명금융서비스 등이 있음.
출처 : 에프앤가이드"
현대차증권,"유가증권의매매,위탁매매,유가증권의 중개,대리/부동산 임대",금융 지원 서비스업,"기업개요
1955년 신흥증권으로 설립된 동사는 2008년 현대자동차그룹 계열사로 편입되었으며, 2018년에 상호를 현대차증권으로 변경하였음. 당분기말 현재 국내에 15개 지점과 6개 출장소를 운영하고 있음.
현대차그룹 계열사와의 시너지를 바탕으로 IB 및 퇴직연금 부문에서 강점이 있으며, 채권과 PI투자에서도 성과를 내는 등 다변화된 포트폴리오를 보유함.
2019년 11월1일 상환전환우선주로 1천억원 규모의 제3자배정 유상증자 실시하였음.
출처 : 에프앤가이드"
다우데이타,"Autodesk 제품군 및 보안, 백신 소프트웨어 등",기계장비 및 관련 물품 도매업,"기업개요
동사는 1992년 6월 10일에 설립됐으며, 1999년 12월 21일자로 코스닥시장에 상장함.
동사와 연결대상 종속회 중 제조서비스업으로 분류되는 비금융사업부는 소프트웨어 및 하드웨어공급부문, 부가통신부문 및 결제대행업, 시스템구축본부, 콘텐츠본부, 인력공급부문, 건물관리본부, 기타로 구분됨.
동사는 소프트웨어 및 하드웨어공급부문, 부가통신부문 및 결제대행업에 해당됨.
출처 : 에프앤가이드"
리드코프,화공약품운반,기타 전문 도매업,"기업개요
동사는 1977년 설립되었고 5개의 연결대상 종속회사가 있으며 주요사업으로는 석유사업, 소비자금융사업, 휴게소 사업이 있음.
주요 제품으로는 유류, 소비자금융, 휴게소가 있으며 S-OIL과의 일반대리점 계약을 진행했고, 소비자금융에서는 제 2금융권으로써 업계 최초로 인터넷 대출을 실시하여 대출규모를 늘리고 있음.
주유소 NETWORK 강화를 통해 안정적인 판매망을 구축하고 다양한 판매촉진 방안 등을 개발 및 수립 중임.
출처 : 에프앤가이드"
스톤브릿지벤처스,"창업투자, 사모투자",기타 금융업,"기업개요
동사는 중소기업창업투자회사로서, 벤처투자조합 및 사모집합투자기구 결성을 통해 중소벤처기업 투자를 주력 사업으로 영위하고 있는 벤처캐피탈(Venture Capital, VC)임.
2023년 1분기 현재 벤처투자조합 13개, 사모투자합자회사 4개를 운용하고 있으며, 17개 펀드의 총 출자약정액은 1조 911억원임.
높은 펀드 청산수익률을 바탕으로, 과거 펀드 출자자들의 지속적 출자가 이어지고 있음.
출처 : 에프앤가이드"
에이티넘인베스트,벤처캐피탈,신탁업 및 집합투자업,"기업개요
설립 이후 다양한 국내외 경제 및 산업구조의 변화흐름 속에서도 약 413여개의 기업에 투자하여 대한민국 중소, 벤처기업 육성과 펀드 운용 수익이라는 두 가지 목표를 꾸준하게 달성함.
26개 투자조합을 결성하고 22개 조합을 성공적으로 청산한 경험을 보유함.
중소벤처기업부에서 매년 실시하는 창업투자회사 평가가 실시된 이래 연속하여 최우수등급을 획득하여 운용 성과뿐만 아니라 투명성, 위험 관리 등의 우수성을 증명함.
출처 : 에프앤가이드"
KB금융,-,기타 금융업,"기업개요
2008년 설립된 KB금융그룹의 지주회사로서 업계 선두권의 시장지위와 높은 브랜드 인지도를 바탕으로 은행, 카드, 증권, 생명보험, 손해보험, 저축은행 등 다양한 사업을 영위함.
2022년 12월말 기준 업계 1위 점유율을 가진 KB국민은행과 더불어 13개의 자회사를 보유함.
WM, CIB, 글로벌, 자본시장부문을 신성장 영역으로 집중 육성하고, 디지털금융 강화 전략으로 No.1 금융플랫폼 기업으로 도약하기 위해 노력 중임.
출처 : 에프앤가이드"
SK디앤디,"비주거용 부동산개발 및 임대(오피스, 지식산업센터, 호텔 등)",부동산 임대 및 공급업,"기업개요
부동산개발을 주요 목적으로 부동산개발과 신재생에너지개발사업을 주 영업목적으로 하고 있음.
SoC 개발, Platform 개발, IP 개발, Embedded Memory 개발, Library 개발, 테스트 개발 및 QA등 전문화된 조직을 구성하여 고객이 필요로 하는 다양한 형태의 비즈니스 모델을 제공함.
디앤디플랫폼리츠(REITs·부동산투자회사)를 활용해 종합 부동산 플랫폼 회사로 성장하기 위해 노력 중임.
출처 : 에프앤가이드"
