Company,items,industry,description
DSR,합섬섬유로프,1차 비철금속 제조업,"기업개요
동사는 1965년 설립되어 합성섬유로프, 스테인리스 와이어 등의 제조 및 판매를 주요사업으로 영위하고 있음.
동사는 합성섬유로프, 스테인리스 와이어 등을 생산 및 판매하는 한국내 사업부문과 와이어로프 외 철강선 및 합성섬유로프 등을 제조, 판매하는 중국내 사업부문, 베트남내 사업부문이 있음.
또한 합성섬유로프, 스테인리스 와이어, 와이어로프 등을 판매하는 미국내 사업부문이 있음.
출처 : 에프앤가이드"
KG케미칼,"콘크리트혼화제, 비료, 친환경농자재, 수처리제",기초 화학물질 제조업,"기업개요
동사는 1954년에 설립됨. 1989년에 유가증권시장에 상장되어 매매가 개시되었음. 건설소재와 비료의 제조 및 판매를 주 사업으로 영위 중임.
감수제, 유지제, 혼화제 등 건설관련 화학소재사업과 친환경 유기질비료, 천연성분 작물보호제, 미생물 제재, 친환경 농자재 등의 생명농업사업을 전개 중임.
연결기업은 사업의 성격에 따라 9개 부문(철강, 자동차, 화학, 에너지, 전자결제, 미디어 및 금융, 교육, 요식업, 임대)으로 분류됨.
출처 : 에프앤가이드"
KPX케미칼,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매",기초 화학물질 제조업,"기업개요
동사는 1974년 7월 1일에 유기화학제품 및 화공약품의 제조와 판매 등을 주 영업목적으로 설립되었으며 1994년 12월 27일 유가증권시장에 상장됨.
폴리프로필렌글리콜의 제조, 합성 및 판매업 그리고 전자재료의 제조 및 판매업을 목적사업으로 하고 있음.
유기화학 및 화공약품 시장은 크게 보면 석유화학 산업으로 분류될 수 있으며, 석유화학 산업은 석유제품이나 천연가스를 주원료로 하여 각종 화학 제품들을 생산하는 산업임.
출처 : 에프앤가이드"
SK케미칼,"PETG 수지, PET 수지, 바이오디젤, 백신",합성고무 및 플라스틱 물질 제조업,"기업개요
Green Chemicals Biz.는 polyester 계열의 Specialty Polymer, 접착 및 코팅제 등의 제품을 제공하는 친환경 소재 사업 영위함.
Life Science Biz.는 제약 사업을, SK바이오사이언스는 백신 사업을 담당함.
SK바이오사이언스는 COVID-19 백신 CDMO/CMO사업 본격화. BMGF/CEPI와 협력개발한 COVID-19 백신 후보물질 'GBP510'은 임상 3상 데이터를 확보함.
출처 : 에프앤가이드"
SUN&L,"합판,가정용가구(선우드),MDF,제재목,하드보드 제조/부동산 임대",나무제품 제조업,"기업개요
동사 사업은 목재 부문과 가구 부문으로 분류됨. 목재부문은 합판, MDF, 제재목, PB를, 가구부문은 목창호, 인테리어, 건가구 등을 건설사로부터 수주를 받아 시공함.
2021년에는 자회사 다린을 흡수합병하면서 생활용품 부문이 추가됨. 플라스틱 포장용기 펌프 디스펜서와 손소독제 등을 생산, 유통함.
목재 부문 제품 점유율은 합판 31.1%, MDF 17.4%이며, 생활용품 부문의 제품 점유율은 약 68%임.
출처 : 에프앤가이드"
경농,"완제농약(잡초약,살충제,살균제) 제조","비료, 농약 및 살균, 살충제 제조업","기업개요
동사는 1957년 농약 제조, 판매를 영위할 목적으로 설립되어 1977년 유가증권시장에 상장됨. 현재 동오그룹에 소속되어 있음.
주요 계열사로는 비료 제조, 판매를 목적으로 하는 조비와 글로벌아그로, 탑프레쉬, 동오시드, 종오육묘 등이 있음.
주요 제품인 작물보호제는 수요의 계절성을 가져 농번기인 3~6월 사이 매출이 집중됨. 이상기후, 천재지변, 병해충의 발생 등에 따라 수요가 영향을 받음.
출처 : 에프앤가이드"
경동인베스트,지주회사,기타 금융업,"기업개요
동사와 그 종속회사(이하 연결실체)의 연결부문인 사업부문은 서로 다른 사업과 용역을 제공하는 전략적 사업단위임.
지주사업 및 부동산임대을 영위하는 지주사업부문, 종합/전문건설업 및 창고보관 및 복합주선 사업을 영위하는 플랜트 및 물류 사업부문이 있음.
또한 전기발전 사업을 영위하는 전기발전 사업부문, 광업/자원개발/광산관련 서비스를 영위하는 전기발전 사업부문 과 종합/전문건설업을 영위하는 건설 사업부문이 있음.
출처 : 에프앤가이드"
국도화학,"에폭시수지,폴리아마이드수지,아염소산소다 제조,도소매",기초 화학물질 제조업,"기업개요
1972년 설립되어 에폭시수지, 경화제용수지와 폴리우레탄 원료인 POLYOL수지를 생산함.
주력인 에폭시수지는 산업용 화학 소재로 전기전자, 우주항공, 도료, 토목건축 등 전산업분야에서 필수적인 고기능성 원자재로 사용됨. 60여 개국에 수출하고 있으며, 유럽, 미국, 터키에 물류기지를 운영 중임.
제품별 연간 생산능력은에폭시 약 62만톤, 폴리올수지 9만톤이며, 에폭시수지의 국내 시장점유율은 약 65% 수준임.
출처 : 에프앤가이드"
금양,"발포제,사카린,OPTSA,베나졸,TCA 제조",기초 화학물질 제조업,"기업개요
합성수지, 고무 등 고분자재료에 첨가되는 화공약품인 발포제 및 발포제 유관제품 제조업체로 1955년 설립되었음.
발포제의 주요 수요처로는 자동차내장재, 상품포장재 등 엔지니어링 플라스틱산업 전반임. 가동률과 원재료 가격변동에 따라 수익성의 영향이 큰 산업으로 부가가치가 높지 않으며 물류비 부담이 큼.
수출비중이 70%를 상회하며, 가격경쟁력 확보를 위해 중국현지공장 생산 확대중.
출처 : 에프앤가이드"
동국홀딩스,"후판,철근,강판,형강,앵글,찬넬,평철 제조,판매",1차 철강 제조업,"기업개요
동사는 철광석, 철스크랩 등을 용해하여 열연, 냉연, 강관, 봉형강 등을 만들어내는 산업을 영위하며 철강수요 부문에서 경기변화에 민감한 특징을 지니고 있음.
대표적인 전략산업으로 정부의 적극적 정책지원과 민간의 경영노력이 조화를 이루어 한국경제성장의 견인차 역할을 함.
전략제품에 마케팅역량을 집중하고 다양한 수요조사를 통한 신시장 개척, 신제품 개발에 주력하여 고부가가치 제품개발 및 판매에 집중하고 있음.
출처 : 에프앤가이드"
