Company,items,industry,description
GS,지주회사/부동산 임대,기타 금융업,"기업개요
동사는 2004년 7월 LG를 인적 분할하여 설립된 지주회사로서, 자회사로 GS에너지, GS리테일, GS스포츠, GS이피에스, GS글로벌, GS이앤알 등이 있음.
사업부문은 가스전력사업, 유통, 무역, 투자 및 기타(호텔업, 프로축구 등)으로 구분됨.
주식의 장부가액이 자산총액의 10% 이상을 차지하는 자회사로 GS에너지(주), (주)GS리테일 2개사가 있음.
출처 : 에프앤가이드"
SK이노베이션,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업",석유 정제품 제조업,"기업개요
SK가 2007년 투자사업부문을 영위할 SK와 석유, 화학 및 윤활유 제품의 생산 판매 등을 영위할 분할신설법인인 동사를 인적 분할함으로써 설립됨.
2009년 10월 윤활유 사업부문을, 2011년 1월 석유 및 화학 사업부문을 각각 물적 분할하였음.
사명을 SK에너지에서 SK이노베이션으로 변경하였으며 2018년 9월 말에 회사의 전략적 판단에 따라 FCCL사업을 넥스플렉스에 매각 완료함.
출처 : 에프앤가이드"
극동유화,"윤활유,유동파라핀,왁스,방수용시트,아스팔트 제조/수입자동차,부품 도매/가스충전,산업설비 청소",석유 정제품 제조업,"기업개요
동사는 산업, 기계용 윤활유 생산, 의약, 화장품, 식품용 및 PS가소제로 사용중인 고급특수유 (유동파라핀) 등을 생산하는 윤활유 사업부, 석유유통사업부, 아스팔트 사업부를 영위하고 있음.
연결 종속회사인 극동유화(남녕)무역유한공사는 윤활유 관련 상품의 중국 내 판매를 담당하고 있음.
동사의 연결종속회사인 '케이디탱크터미널(주)'은 주류보관업을 영위하고 있음.
출처 : 에프앤가이드"
대성산업,"주요소운영,기계판매 등",연료 소매업,"기업개요
동사는 대성산업공사를 모태로 2010년 6월 분할 설립되었으며, 석유가스사업, 전력발전사업, 에너지사업, 기계사업, 기타사업(해외자원개발 등) 등을 영위함.
석유가스부문은 GS칼텍스의 최대 일반대리점 지위로서 서울, 경기, 경남, 경북지역에 주유소 및 충전소를 설치, 운영하고 있음.
전력발전부문은 LNG를 연료로 전기와 열 그리고 스팀을 생산하여 오산인근 및 공업지역과 한국전력거래소에 판매함.
출처 : 에프앤가이드"
DGP,풍력 및 태양광 발전업,전기업,"기업개요
동사는 1997년 설립되어 풍력 및 신재생에너지 개발사업 및 유지보수업을 영위하고 있음.
동사는 신재생에너지 중 태양광 PV(Photovoltaic System) 및 에너지저장치(Energy Storage System), 풍력을 이용하여 전기를 생산, 판매하는 사업을 영위하는 발전 자회사를 두고 있음.
2023년 3월 29일 상호를 대한그린파워 주식회사에서 주식회사 디지피로 변경함.
출처 : 에프앤가이드"
스페코,아스팔트믹싱플랜트,특수 목적용 기계 제조업,"기업개요
동사의 사업 분야는 아스팔트 및 콘크리트 제조 등에 필요한 아스팔트 플랜트 사업을 시작으로 하였음.
콘크리트 플랜트 등의 건설장비 사업, 함안정기 등의 박용기계 사업, 풍력발전을 위한 WIND TOWER 제작 등의 사업을 병행하고 있음.
주요 사업 부문은 건설기계(아스팔트믹싱플랜트, 콘크리트배쳐플랜트) 박용기계 (함안정기, 활동요감쇄조타기), 풍력(윈드타워)으로 나뉨.
출처 : 에프앤가이드"
에스에너지,"태양광발전시스템,태양전지모듈","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","기업개요
동사는 2001년 1월 12일 설립되었으며, 태양전지 모듈 제조 및 태양광 발전 시스템 설치 및 발전사업을 주요사업으로 영위하고 있음.
기존 태양광 모듈 판매뿐 아니라 태양광발전소 건설사업과 유지보수 사업으로까지 영역을 확대하는 등 사업 포트폴리오를 다변화하고 있음.
2018년 10월에는 동사의 수소연료전지 자회사인 에스퓨얼셀이 성공적으로 코스닥시장에 상장함.
출처 : 에프앤가이드"
제이씨케미칼,"바이오디젤, 바이오중유 등",기타 화학제품 제조업,"기업개요
동사는 2006년 3월 바이오디젤 등의 제조 및 판매를 목적으로 설립되었으며, 2011년 8월 코스닥시장에 상장되었음.
바이오연료 사업은 바이오디젤(BD100), 바이오중유를 제조하여 정유사와 발전사 등에 공급하며, 국내최초로 바이오디젤 연속식 생산공정을 자체 설계하여 완공함.
오일팜 플랜테이션 사업은 해외에서 유지작물 재배를 통해 바이오에너지 원료를 생산하고, 국내에서 제품을 생산판매하는 수직계열화 체계를 완성하였음.
출처 : 에프앤가이드"
HD현대에너지솔루션,"태양광 셀·모듈, PV시스템, ESS",반도체 제조업,"기업개요
동사는 태양광 모듈 판매를 주력 사업으로 영위하고 있으며, 태양광 모듈 판매 비중이 전체 매출액의 90%를 상회함.
동사는 해외 Top-tier 태양광 셀/모듈 제조업체와의 파트너십을 통해 추가적인 공급능력 확보 및 생산 유연성을 증대시키고 있음.
동사는 음성공장 내 PV R&D Center및 분당사무소에서 연구활동을 수행하면서 태양광 셀/모듈 제품 및 시스템 제품의 효율, 출력 향상 및 신뢰성 개선 기술 개발에 주력하고 있음.
출처 : 에프앤가이드"
SK디스커버리,"화섬사(폴리에스테르원사(폴리에스터F,폴리에스터SF),폴리에스터직물,아세테이트),석유화학부문(TPA,DMT),섬유원료,직물,BOTTLE용CHIP,접착제,폴리우레탄 제조,",기타 금융업,"기업개요
동사는 2017년 12월 1일 투자부문을 존속법인으로 하고 사업부문을 신설법인으로 하는 인적분할을 통하여 지주회사로 전환함.
동사의 주요 자회사가 영위하는 사업부문으로는 Copolyester 수지 및 기넥신에프 등을 생산하는 친환경소재 및 제약사업(SK케미칼), LPG 등을 판매하는 LPG판매사업(SK가스)가 있음.
오피스/지식산업센터/상업시설 등 부동산 개발사업(SK디앤디) 또한 자회사로 보유.
출처 : 에프앤가이드"
