Company,items,industry,description
대성에너지,천연가스,연료용 가스 제조 및 배관공급업,"기업개요
2009년 10월 대성홀딩스로 부터 물적분할하여 설립, 2010년 12월 24일에 한국거래소 유가증권시장에 상장함.
동사는 한국가스공사로부터 천연가스를 공급받아 취사용, 난방용, 냉난방공조용, 영업용 및 산업용 도시가스를 공급함.
시내버스용 연료공급을 위한 천연가스충전소를 12개소 운영하고 있으며, 대구광역시 죽곡지구에 열과 전기를 공급하는 열병합발전소를 운영하고 있음.
출처 : 에프앤가이드"
SK가스,"액화석유가스,가스기기 판매,수입,저장",기타 전문 도매업,"기업개요
동사는 LPG 수입산업의 합리화를 위해 1985년 설립되어 현재까지 LPG 등의 화학제품을 수입, 저장, 판매하는 LPG 가스사업을 주요 사업으로 영위.
가스화학 밸류체인(SK Adavanced) 구축, 산업용 신규 수요 확보 등 국내 LPG 산업의 영역 확장을 성공적으로 선도하고 있음.
LPG 사업 이외에도 세계 최초 LNG/LPG Dual 발전 사업(울산GPS), LNG 터미널(코리아에너지터미널) 등 신규사업을 추진 중임.
출처 : 에프앤가이드"
지역난방공사,"집단에너지공급 및 전기,증기 생산,판매","증기, 냉·온수 및 공기조절 공급업","기업개요
동사는 1985년 11월에 설립되었으며, 집단에너지사업, 전력사업, 신·재생에너지사업 등을 영위하고 있음.
주요 제품은 열, 냉수, 전기로, '22년 3월 말 기준, 총 19개 사업장에서 1,740천호의 공동주택과 2,774개소(냉방 1,207개소)에 냉·난방을 공급중에 있음.
500MW급 이상의 중대형 발전소와 신재생설비를 포함한 2,424MW의 발전소를 보유하고 있어 생산된 전력을 전력거래소에 판매하고 있음.
출처 : 에프앤가이드"
E1,"LPG(프로판,부탄가스),가스기기판매",기타 전문 도매업,"기업개요
동사는 1984년 9월 6일 설립되었으며 1997년 8월 27일에 유가증권시장에 상장함.
동사는 LPG 유통전문회사로서 LPG만을 단일 상품으로하여 외국으로부터 LPG를 구매 후 수출 또는 내수를 통해 판매하고 있음.
국내 최초로 대규모 LPG 수입사업을 추진하여 사우디아라비아와 아랍에미리트 등 중동 주요 산유국으로부터 장기도입 계약을 체결하여 LPG를 도입, 이를 국내 정유사, 충전소, 산업체 등에 공급하는 친환경 대표기업임.
출처 : 에프앤가이드"
한진중공업홀딩스,지주회사,연료용 가스 제조 및 배관공급업,"기업개요
순수지주회사로서, 주 수입원은 자회사 등으로부터 받는 배당수익, 한진중공업브랜드의 권리를 소유하며 사용자로부터 수취하는 상표권사용수익, 소유 건물의 임대를 통한 임대수익 등이 있음
종속회사는 도시가스공급업(대륜E&S), 골프장사업(한일레저), 발전전기업(대륜발전) 등의 사업을 영위하고 있음.
매출은 도시가스공급업 63.88%, 발전전기업 35.30%, 골프장사업 0.72% 등으로 이루어져 있음.
출처 : 에프앤가이드"
대성홀딩스,"도시가스,일반가스 공급/가스기기,차량용 연료 판매/해외자원개발,부동산 임대",회사 본부 및 경영 컨설팅 서비스업,"기업개요
2009년 10월 대구도시가스 주식회사에서 대성홀딩스 주식회사로 상호명 변경했음.
동사는 지주회사로 종속회사의 사업내용 지배, 경영지도, 법률자문, 정리,육성 등을 영위하며 IT사업부는 컴퓨터를 이용한 정보처리 업무 및 시스템 통합(통신판매업)을 영위함.
IT사업부는 컴퓨터 프로그램 매체의 제조, 판매 및 보수정비(시스템 통합), 선전화 서비스, VOIP(인터넷전화)서비스 또한 주요 사업으로 영위하고 있음.
출처 : 에프앤가이드"
인천도시가스,도시가스 공급/가스설비공사,연료용 가스 제조 및 배관공급업,"기업개요
동사는 1983년 3월 7일 설립되었으며 2006년 유가증권시장에 주식을 상장하였고, 도시가스 공급업을 주요 사업으로 영위함.
한국가스공사의 주배관망을 통해 천연가스를 구입해 지구 및 지역정압기를 통해 공급압력을 조절한 후 공급권역의 수요가에게 당사 배관 등의 시설을 통해 판매하는 방식임.
한국가스공사로부터 공급받은 천연가스는 당사의 정압기를 통해 감압하여 지하의 배관망을 통해 수요가에 공급함.
출처 : 에프앤가이드"
한전기술,원자력발전소 설계 등,"건축기술, 엔지니어링 및 관련 기술 서비스업","기업개요
발전소 및 플랜트 관련 엔지니어링 업체로서 원자력발전소의 설계, 수화력발전소의 설계, 발전설비 O/M, 플랜트 건설사업 및 PM/CM 사업 등을 영위하고 있음.
세계에서 유일하게 원자로 계통 설계와 원전 종합설계를 모두 수행하고 있으며 풍부한 설계 노하우와 고급기술 인력을 보유하고 있음.
세계에서 유일하게 원자로 계통 설계와 원전 종합설계를 모두 수행하고 있으며 풍부한 설계 노하우와 고급기술 인력을 보유하고 있음.
출처 : 에프앤가이드"
경동도시가스,도시가스,연료용 가스 제조 및 배관공급업,"기업개요
울산광역시 및 양산시(경상남도) 일대를 공급권역으로 하여 한국가스공사로부터 공급받아 도시가스배관을 통해 최종 소비자에게 공급하고 있음.
도시가스시설에 대한 철저한 관리로 한국가스안전공사에서 실시하는 안전관리수준평가(QMA)에서 2009년부터 13년 연속 최우수 등급을 달성함.
도시가스 업계 최초, 울산지역 최초의 소비자중심경영(CCM)인증 기업으로 수행하는 모든 활동을 소비자 관점에서 지속적으로 개선하고자 노력하고 있음.
출처 : 에프앤가이드"
삼천리,도시가스 공급/부동산 임대,연료용 가스 제조 및 배관공급업,"기업개요
동사와 연결회사는 도시가스 공급업, 발전, 자동차 판매, 플랜트, 집단 에너지, 해외 호텔 등의 사업을 영위함
주요 사업인 도시가스 부문은 한국가스공사로부터 가스를 공급 받아 경기도 및 인천광역시에 도시가스배관을 통해 소비자에게 공급하고 있음
동사는 발전 부문에서 경기도 안산시 초지동 시화 MTV(멀티테크노밸리)에 834MW급 LNG복합화력발전소를 착공해 대규모 발전사업에 진출, 연간 매출액은 1조원을 돌파했음.
출처 : 에프앤가이드"
