Company,items,industry,description
LG헬로비전,"케이블TV, 인터넷서비스 등",텔레비전 방송업,"기업개요
동사는 1995년 3월 종합유선방송법에 의해 설립되어 종합유선방송국 운영사업, 별정통신사업과 부가통신사업 등을 주요사업으로 영위하고 있음.
2019년 12월에 LG유플러스가 동사의 지분을 50% 취득하여 최대주주가 됨.
동사는 종합유선방송사업자로서 전국 23개 권역에 방송설비를 갖추고 PP(Program Provider)가 생산하는 프로그램을 플랫폼과 네트워크를 통해 가입자에게 직접 전달하는 케이블TV 서비스를 제공함.
출처 : 에프앤가이드"
갤럭시아에스엠,"스포츠중계권,스포츠마케팅,광고",스포츠 서비스업,"기업개요
동사는 스포츠마케팅과 국내판권을 소유하여 운동기구 유통사업을 영위하고 있음.
스포츠단체들과 지역 단체들이 주최하는 스포츠대회마케팅, 스폰서십, 머천다이징 등 활발한 스포츠 마케팅사업을 추진하고 있음.
선수 매니지먼트사업은 다양한 경기 및 대회 개발을 포함하여 방송 및 스폰서십을 연계하는 토털 매니지먼트를 추구, 유통사업은 이탈리아 명품운동기구인 테크노짐의 국내총판권을 소유하여, 신규사업으로 공급하고 있음.
출처 : 에프앤가이드"
더블유게임즈,모바일게임,소프트웨어 개발 및 공급업,"기업개요
동사는 페이스북, iOS, Google 플랫폼을 통해 더블유카지노(DoubleU Casino), 더블다운카지노(DoubleDown Casino) 등의 소셜카지노 게임을 개발 및 서비스함.
더블유카지노(DoubleU Casino), 더블유빙고(DoubleU Bingo), 테이크5(Take5) 등 4가지 모바일 게임을 서비스함.
종속회사인 더블다운인터액티브는 더블다운카지노, 더블다운포트녹스, 언데드월드 등 4가지 게임을 서비스함.
출처 : 에프앤가이드"
키다리스튜디오,"만화, 소설 등 콘텐츠 제작 및 유통, 판매, 컴퓨터 프로그래밍, 시스템 통합 및 관리업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","기업개요
동사는 1987년 7월에 설립되어 현재 웹소설 및 웹툰 콘텐츠 플랫폼 서비스, 영상사업을 주된 사업목적으로 하고 있음.
동사는 글로벌 종합 콘텐츠 기업으로써 봄툰, 레진코믹스, 델리툰이라는 자체 웹툰 플랫폼을 운영하고 있으며 타 플랫폼에 웹툰 및 웹소설 서비스를 제공함.
동사는 다양한 콘텐츠들의 근간이 되는 IP((Intellectual Property))를 확보하고, IP를 활용한 콘텐츠 제작을 위해 힘쓰고 있음.
출처 : 에프앤가이드"
디지틀조선,위성서비스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","기업개요
동사는 조선일보 계열사로 1995년 10월 2일 설립되었으며, 1997년 8월 6일에 한국거래소 코스닥시장에 상장됨.
사업부문은 인터넷 사업부문, 영상사업부문, 전산사업부문, 교육사업부문, 기타사업부문 등 크게 다섯 가지 사업군으로 나뉨.
동사는 인터넷 신문인 'dizzo.com'의 운영 및 'chosun.com' 일부 영역의 위탁, 그리고 시티비전(옥외전광판) 및 SNS 기반의 디지틀조선TV를 운영하고 있음.
출처 : 에프앤가이드"
룽투코리아,"모바일게임(열혈강호,검과마법)",소프트웨어 개발 및 공급업,"기업개요
동사는 1999년 설립된 게임소프트웨어 개발 및 공급 기업으로, 2017년 중 물적분할을 통해 기존에 영위하고 있던 교육사업부를 분리하였고 현재 게임사업을 주요 사업으로 영위하고 있음.
동사는 국내 외 모바일 게임 퍼블리싱 사업을 전문적으로 영위하고있음.
동사와 종속회사에서 서비스 중인 모바일 게임은 '검과마법', '열혈강호', '용의 기원', '카이로스' 등이 있음.
출처 : 에프앤가이드"
메쎄이상,"전시주최, 컨벤션 및 행사 대행업",기타 사업지원 서비스업,"기업개요
합병 후 존속법인 에스케이증권에이씨피씨제7호기업인수목적은 메쎄이상의 영업을 그대로 승계하고, 사명이 메쎄이상으로 변경될 예정. 합병법인과 피합병법인의 합병비율 '1 : 4.7900000'
메쎄이상은 2008년 1월 31일 설립, 전시주최 및 대행업을 주된 사업목적으로 영위.
국내 전시회사 중 유일하게 자체 IT 전문인력을 갖춤. 직접 개발한 고객 및 등록관리 시스템, 어플리케이션 등을 통해 전시운영을 선진화 하고 있음.
출처 : 에프앤가이드"
씨씨에스,케이블TV서비스 및 초고속인터넷서비스,텔레비전 방송업,"기업개요
동사는 방송법에 의거하여 정부(과학기술정보통신부 및 방송통신위원회)로부터 종합유선방송사업을 영위하는 것에 대한 승인을 득한 방송사업자임.
충척북도 충주시,제천시,음성군,괴산군,단양군,진천군,증평군으로 동 지역내 가입자에게 자가 전송망을 통해 케이블 TV 서비스를 제공함.
종합유선방송사업 부문 이외에도 각종 지역행사 유치, 국내 및 해외 테마여행사업, 프로그램 컨텐츠 유통 등 신규 사업을 진행하여 사업 다각화에 집중하고있음.
출처 : 에프앤가이드"
아시아경제,광고 및 콘텐츠,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","기업개요
동사는 온오프라인 경제 전문 미디어로, 매체에 대한 대중의 접근성을 전제로 한 광고 사업과 콘텐츠 사업, IR사업, HR사업 등으로 구성되어 있음.
광고 사업은 모바일, 스마트플랫폼 등의 뉴미디어를 활용해 새로운 광고수익을 창출하고 있음.
방대한 네트워크를 기반으로 플랫폼의 진화에 대응하고, 관련 인프라를 자체적으로 구축함으로써 인터넷과 뉴미디어를 통한 광고 사업을 성공적으로 이행하고 있음.
출처 : 에프앤가이드"
애니플러스,방송통신사업,"영화, 비디오물, 방송프로그램 제작 및 배급업","기업개요
동사는 2009년 9월 8일 주식회사 애니플러스로 변경 등기하였음.
동사는 2020년 1월 22일자를 합병등기일로 미래에셋대우기업인수목적2호와 합병하여 2020년 2월 7일 코스닥시장에 상장함.
동사는 유스 애니메이션을 핵심 콘텐츠로 하는 'ANIPLUS' 방송사업을 주 사업으로 VOD 사업 사업, 극장판 애니메이션 배급사업, 전시 이벤트 사업, 드라마 제작 사업 등 관련 사업 영역으로 다각화를 전개함.
출처 : 에프앤가이드"
