Company,items,industry,description
MH에탄올,"주정,탄산가스 제조",알코올음료 제조업,"기업개요
동사는 1978년 7월 설립되었으며 사업부문은 주정의 제조 및 판매를 하는 주정 사업부, 기계설비 및 제작 사업부, 골프장 사업부로 구성됨.
주정업계는 9개사의 주정제조 회사가 있고 생산된 제품은 대한주정판매가 대부분을 구매한 후 주류 제조 회사와 식품제조 회사 및 제약회사 등에 판매함.
동사가 영위하고 있는 퍼블릭 골프장은 회원을 모집하지 않고 예약에 의해 누구나 이용할 수 있으며 이용요금도 저렴하다는 특징이 있음.
출처 : 에프앤가이드"
모나리자,"화장지,미용티슈 제조,도매",기타 종이 및 판지 제품 제조업,"기업개요
동사는 화장지 제조 판매, 지류 제조, 일용 잡화의 판매업을 영위하며 또한 위생용품 제조 및 판매업과 각 사업 부문에 관련된 부대 사업을 영위하고 있음.
화장지를 제조하는 동사와, 화장지 제조, 화물자동차 운송, 상품중개, 무역, 인적관리용역, 위생용품 제조를 영위하는 7개의 관계회사가 있음.
종이 사용분야에 따라 문화용지, 산업용지, 위생용지, 특수지 등으로 구분되고 있음.
출처 : 에프앤가이드"
선진,조제동물사료,동물용 사료 및 조제식품 제조업,"기업개요
동사는 배합사료 제조 및 판매업, 축산물 가공 및 판매업 등을 영위할 목적으로 설립되었으며 2011년 1월에 동사와 선진지주로 인적분할함.
동사의 주된 사업은 배합사료 제조 및 판매업이며 그밖에도 축산물 가공 및 판매업, 양돈업 등을 영위하고 있음.
농장직접방문 또는 세미나 개최를 통해 사양, 방역, 급여지도 등 고객이 원하는 최고의 품질의 제품 및 서비스를 제공하여 매출을 확대하고 있음.
출처 : 에프앤가이드"
오뚜기,"라면,마요네즈,카레,스프,당면,소오스,토마토케첩,마가린,냉동생지(바게트,크로와상),참치캔,식초,3분짜장 제조",기타 식품 제조업,"기업개요
동사와 그 종속기업(이하 '연결회사')는 건조식품, 양념소스, 유지, 면, 농수산 가공식품 등 다양한 종류의 식품을 국내/외 주요 사업장에서 제조 및 판매를 영위함.
현재 안양, 대풍, 삼남, 포승 등에 제조시설을 갖추고 있으며, 각 종속기업들은 파주, 음성, 고성 등에 제조시설을 기반으로 사업을 영위.
해외 사업장으로는 미국, 베트남, 뉴질랜드, 중국 등으로 판매/제조시설을 운영하고 있음.
출처 : 에프앤가이드"
오리온,스낵 등 과자류,기타 식품 제조업,"기업개요
2017년 6월 인적분할로 설립되었으며 음식료품의 제조, 가공 및 판매사업을 주요 사업으로 영위함.
국내 시장에서는 초코파이를 위시한 여러 파이 제품과 포카칩, 오징어땅콩 등의 안정적인 실적을 바탕으로 매년 다양한 신제품을 출시해 성공시키며 높은 시장 지배력을 보이고 있음.
해외 시장에서는 중국 시장을 중심으로 큰 성장을 이루어내고 있으며, 소매점 판매강화를 통해 지역 및 채널망을 확장시켜 나가고 있음.
출처 : 에프앤가이드"
카나리아바이오,"양계, 양돈 배합사료",동물용 사료 및 조제식품 제조업,"기업개요
동사는 주요 사업으로 바이오사업 및 사료사업을 영위하고 있음.
동사가 추진하는 바이오생명공학 사업은 난소암, 췌장암 및 전이성 유방암 관련 면역항암치료제 관련 연구자산, FDA 임상 스폰서십자격 및 특허권 등의 지적 자산을 토대로 면역항암치료제를 개발, 생산하는 것을 골자로함.
배합사료 제조판매업을 주업으로 수행하고 있으며 그 중 주요 판매 제품은 양계사료와 양돈사료가 있음.
출처 : 에프앤가이드"
푸드웰,"깐밤, 통조림류, 딸기시럽류, 음료제품 등","과실, 채소 가공 및 저장 처리업","기업개요
동사는 음식료품의 제조 및 도소매, 수출입을 영위하는 기업으로 주요 제품군은 시럽제품군, 음료제품군, 밤제품군을 보유하고 있음.
시럽제품군과 음료제품군의 경우 주로 1차 원료 가공 생산 및 대기업의 OEM방식으로 제품을 생산하며 밤제품의 경우 국내산 밤을 수매하여 제조,가공후 일본등지로 수출함.
자회사인 청도푸드웰식품유한공사는 농,임산물 생산가공 및 판매를 주 사업목적으로 함.
출처 : 에프앤가이드"
한국맥널티,커피 및 의약품,기타 식품 제조업,"기업개요
1997년 12월 설립되었으며, 생두에서부터 원두커피 가공제품까지 커피와 관련된 전반적인 사업 전체를 영위함.
인스턴트 커피부터 RTD 제품까지 전제품의 라인업을 확보하고 있으며, 동종업계 내 유일하게 대형 유통채널에서부터 슈퍼, 편의점, 온라인 등에 제품을 공급함.
원료의약품을 구매하여 소비자가 복용할 수 있는 형태의 완제의약품을 제조하여 공급하고 있으며 일반 의약품 및 전문 의약품을 모두 생산, 판매함.
출처 : 에프앤가이드"
CJ씨푸드,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",기타 식품 제조업,"기업개요
동사는 1976년 삼호물산 주식회사로 설립되어, 1985년 삼호어묵을 출시하면서 내수식품사업을 시작.
주요 사업 내용은 어묵, 맛살, 햄, 김 등을 생산 판매하는 식품사업이며 CJ제일제당의 중앙연구소와 연계된 최고의 품질관리시스템을 통해 고객이 안심하고 먹을 수 있는 우수한 먹거리를 제공.
소비자의 건강에 대한 지속적인 관심도 증가와 Well-being 변화에 맞춘 신제품 개발을 적극 추진해 왔으며, 판매영역을 확대함.
출처 : 에프앤가이드"
CJ제일제당,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매",기타 식품 제조업,"기업개요
2007년 9월 CJ에서 기업 분할되어 식품과 생명공학에 집중하는 사업회사로 출발한 국내 1위 식품회사의 위치를 공고히하고 있음.
고급화 되어가는 소비자 트렌드에 맞춰 프리미엄화 전략을 적극 추진하여 뛰어난 맛과 품질, 강력한 브랜드 파워를 갖추기 위해 노력 중임.
육상 및 해상 등 여러 분야에서 전국 네트워크 구축을 통해 운송의 합리화를 추진하여 물류 품질의 질적 향상과 서비스 극대화에 중점을 두고 있음.
출처 : 에프앤가이드"
