Company,items
녹십자홀딩스,"알부민,유로키나제,간염백신,유행성출혈열백신 제조"
명문제약,"의약품(ROBAXIN 주사,KIMITE패취) 제조,판매"
보령,"의약품(제산제(겔포스),구심,용각산,고혈압치료제(카프릴),소염진통제(멘소레담),항생제(듀리세프),혈전치료제(아스트릭스)) 제조"
삼성제약,"의약품(까스명수,쓸기담,에프킬라에어졸,액체우황청심원) 제조,도매"
제일약품,의약품
제일파마홀딩스,"의약품(타리비드,제일파프,노엘,푸라솔) 제조,도매"
종근당홀딩스,"의약품(항생제,위궤양치료제,장기이식면역억제제,고지혈증치료제(로바이드)) 제조,도매"
한미사이언스,"항생제(세포탁심,세포트리악손),유산균정장제(메디락비타,메디락베베),위장관운동조절개선제(설프라이드),고혈압치료제(유니바스크),원료의약품,식품 제조,판매"
CJ 바이오사이언스,"생명정보 플랫폼, 마이크로바이옴 분석 서비스"
강스템바이오텍,줄기세포치료제
노을,융복합 체외진단 플랫폼
농우바이오,"고추, 수박, 참외(메론), 오이, 호박, 무, 배추 등"
대한과학,"의료, 정밀 및 연구실험기기 제조 및 유통"
동구바이오제약,"피부, 비뇨기과 완제의약품"
루닛,Lunit INSIGHT
모비스,기업인수합병
미코바이오메드,체외진단용 의료기기
바이넥스,"정장제, 소화제"
바이오에프디엔씨,식물세포 유래 유효물질 및 약리물질
바이오인프라,"생동성시험, 검체 분석"
셀바스헬스케어,"체성분측정기, 혈압계, 점자정보단말기"
씨유메디칼,심장제세동기
아스타,MALDI-TOF 질량분석기 기반 진단시스템
아이센스,"혈당측정스트립, 혈당측정기기 등"
앱클론,항체의약품
에이디엠코리아,임상 CRO 서비스
에이프릴바이오,항체의약품 및 재조합 단백질 의약품
옵티팜,"옵티케어,메디피그 등"
제일바이오,동물사료첨가제
조아제약,"의약품,의약부외품,보건보조식품,위생용품의제조판매"
큐라티스,"백신 및 면역증강제 개발제조업, CMO/CDMO"
티앤알바이오팹,"생분해성 의료기기, 3D 바이오프린팅 시스템, 바이오잉크, 3D 오가노이드, 3D 세포치료제"
프로테옴텍,알레르기 진단 제품
프롬바이오,개별인정형 건강기능식품
피제이전자,EMS Business(의료용기기제조외)
녹십자,"알부민외 제조,판매"
대원제약,"의약품(해열소염진통제,진해거담제,동맥경화용제,혈압강하제 등), 건강기능식품(프로바이오틱스 등)"
동아에스티,"스티렌, 자이데나"
에이프로젠바이오로직스,"의약품(항생제,영양수액제,드링크제,철결핍성빈혈예방치료제,경옥동충하초) 제조,판매"
일동홀딩스,"의약품 제조,도매"
한미약품,의약품
한올바이오파마,"의약품 제조,도매/부동산 임대"
환인제약,"의약품(신경정신질환치료제,소화기관용약제,연고) 제조,도매"
CMG제약,의약품
고바이오랩,마이크로바이옴 치료제 및 건강기능식품
나노엔텍,의료기기 및 실험기기
나이벡,"치아미백제,치과용 골이식재"
노바렉스,건강기능식품 제조
뉴트리,"에버콜라겐, 지노마스터 등"
대봉엘에스,"원료의약품,화장품원료"
루트로닉,의료용레이저기기
메타바이오메드,"생체분해성봉합사,근관충전재"
보로노이,표적치료제
비엘,"자궁경부상피이형증 치료제, 자궁경부전암 치료백신"
비트컴퓨터,의료정보시스템
셀바스AI,인공지능 솔루션 등
솔고바이오,"가정용 온열치료기, 의료기구"
안국약품,"그랑파제, 토비콤-S"
압타머사이언스,압타머기반 신약개발 및 진단제품 개발
압타바이오,"용역매출, 유전자전달체, 압타머연구용시약"
에스티팜,원료의약품
엔지켐생명과학,"EC-18(신약), 원료의약품"
옵투스제약,티어린프리점안액
이글벳,"아바텍,아목사실린사 등"
이노테라피,"의료용지혈제, 밀폐제 및 접착제"
이지케어텍,의료정보시스템
제놀루션,"핵산추출기기 및 시약, RNAi 사업 등"
제이브이엠,"전자동 정제,분류 및 포장시스템"
젠큐릭스,유방암 예후진단 및 폐암/대장암 동반진단 제품/검사서비스
테고사이언스,피부세포치료제
파멥신,항체치료제
팜스빌,다이어트 제품 및 건강기능 관련 제품
한국비엔씨,필러 등 생체재료의료물질 개발
휴마시스,체외진단키트
휴온스글로벌,의약품제조업
국제약품,"항생제,안약,제약 제조,도매"
바이오노트,"Rapid 반제품 및 완제품, 동물용신속진단 키트"
삼성바이오로직스,바이오의약품
삼일제약,"양약(부루펜,액티피드,포리부틴) 제조,도매"
일성신약,"의약품(항생제,화학료법제,항바이러스,근이완제,영양액륜) 제조,판매"
종근당바이오,"의약품,원료의약품 제조"
DXVX,BAC DNA CHIP
경남제약,PCB 드릴가공
고려제약,"하벤(종합감기약),뉴로메드(치매치료제)등"
국전약품,기업 인수 및 합병
더블유에스아이,기업인수합병
동국제약,"인사돌, 복합마데카솔, 파미레이"
레고켐바이오,신약후보물질 발굴을 통한 License-Out
박셀바이오,"항암면역세포치료제(자연살해세포, 수지상세포, CAR-T 및 인터루킨 기반 항암제)"
비보존 제약,완제의약품제조
비씨월드제약,"마취통증약, 순환계약, 항생제, 기타처방약"
비피도,프로바이오틱스 관련 완제품 및 균주 원말 등
샤페론,합성신약 및 항체치료제신약 기술제품 및 기술이전
세운메디칼,"의료용구(체액배출기,도뇨관) 제조,도매,수출입"
신라젠,펙사벡(바이러스 항암면역치료제)
신테카바이오,유전체 빅데이터 기반의 AI신약개발 및 정밀의료서비스
알피바이오,연질캡슐 제형의 의약품 및 건강기능식품
애니젠,펩타이드 바이오소재 및 아미노산 펩타이드 신약
얼라인드,"자동세포카운팅시스템, 생체조직투명화시스템, 디지털세포이미징시스템"
에이비엘바이오,항체의약품 연구개발
엔케이맥스,"연구용 시약, NK Vue KIT, SuperNK"
오스템임플란트,치과용임플란트
우진비앤지,"슈퍼티아, 안티펜SM"
원텍,기업 인수 및 합병
인바디,정밀 체성분 분석기
제넥신,항체융합단백질 치료제 및 유전자치료 백신개발
케어랩스,"헬스케어 미디어플랫폼, 헬스케어 디지털마케팅, 헬스케어 솔루션"
케어젠,"성장인자, 바이오미메틱펩타이드 기반 안면, 두피, 바디 코스메슈티컬 제품"
코렌텍,"인공고관절, 인공슬관절 등"
코스맥스엔비티,건강기능식품
코오롱생명과학,"항균제, 수처리제, 원료의약 등"
파마리서치,재생의약품
하이로닉,피부미용 의료기기
한국유니온제약,"항생제, 순환기계, 근골격계, 소화기계류 완제의약품"
대웅제약,"양약,의료기기 제조/화장품,의약부의품 도소매/부동산 임대"
동화약품,"의약품 제조,판매,수출입"
셀트리온,"램시마, 트룩시마, 허쥬마"
이연제약,"항생제,순환기제"
HK이노엔,"전문의약품, 숙취해소음료"
JW신약,"매니큐어세트, 손톱깎이"
경동제약,"듀오로반정, 발디핀정, 아트로반정 등"
대성미생물,"동물용 의약품, 미생물제재"
디알젬,"진단용 엑스선 촬영장치 및 부분품, X-ray 제너레이터 외"
디알텍,"X-ray Detector, X-ray System"
디엔에이링크,"유전체분석(EGIS), 개인유전체분석(DNAGPS)"
랩지노믹스,체외진단 서비스 및 제품
레이언스,"TFT Detector, CMOS Detector, I/O Sensor"
메드팩토,항암제 신약개발
메디톡스,"의약품원료(A형,B형 보툴리늄독소 단백질치료제) 제조,연구,개발"
바이오톡스텍,"안전성평가, 유효성평가"
비스토스,환자 및 태아감시장치
셀트리온헬스케어,바이오의약품 마케팅 및 판매
씨엔알리서치,금융 지원 서비스
아시아종묘,종자
아이큐어,"플라스타, 의약 및 의약외품 패취등, 마스크팩, 화장품 기초라인"
에스바이오메딕스,줄기세포 치료제 연구 및 개발
에스씨엠생명과학,세포치료제
엘앤씨바이오,"인체조직(피부, 뼈, 연골)"
오스테오닉,골접합 및 재건용 금속소재 및 생체복합재료 기반 임플란트
이수앱지스,"항체치료제,효소치료제"
이오플로우,웨어러블 인슐린펌프
제노레이,의료용 방사선 진단기기
제이시스메디칼,미용의료기기
제테마,"히알루론산 필러(조직수복용생체재료), 피부과용 레이저 의료기기, 리프팅실 등"
지씨셀,"세포치료제, 검체검사서비스, 제대혈은행"
차바이오텍,"세포치료제 개발, 제대혈 보관 등"
케이바이오,"실험용 시약, 과학기자재 등"
퓨쳐켐,"PET 방사성의약품, 자동합성장치, 합성시약 및 전구체"
프레스티지바이오로직스,바이오시밀러 제조
프리시젼바이오,체외진단 기기 및 시약
피플바이오,올리고머화 베타-아밀로이드 검사제품(알츠하이머병 진단)
하이텍팜,주사제용 무균 원료의약품(Sterile Imipenem 외)
휴럼,금융지원 서비스
JW중외제약,"수액제,소화기궤양치료제,항생제,항암제 제조,도매"
