Company,items
SNT다이내믹스,"자동차부품(동력전달장치 등),공작기계(CNC선반 등),사출성형기 제조"
메타랩스,"여성용 의류(캐쥬얼티셔츠,바지) 제조"
삼성공조,"자동차부품(라디에터,오일쿨러) 제조,판매"
삼성출판사,"서적 출판,인쇄,소매/부동산 임대"
신세계인터내셔날,"섬유, 의복, 신발 및 가죽제품 소매"
영화금속,"자동차부품,건축자재(관이음쇠) 제조,판매"
윌비스,"스웨터,니트,셔츠 도매,제조/컴퓨터주변기기 무역,오파,임대"
인지컨트롤스,"자동차부품(터머스위치,터머스탯) 제조"
코스맥스,화장품
토니모리,"스킨케어 베이직, 포인트 메이크업, 스킨케어 스페셜, 베이스 메이크업 등"
핸즈코퍼레이션,자동차 알루미늄 휠
호전실업,스포츠웨어 및 아웃도어 웨어 OEM
DH오토웨어,카멀티미디어 및 TFT-LCD 부품제조..
KB오토시스,브레이크패드
감성코퍼레이션,"의류, 의류디자인, 휴대폰 주변기기"
골프존,골프시뮬레이터
그리티,"내의(원더브라, 플레이텍스, 미싱도로시, 르페)"
글로본,화장품 외
네오티스,"마이크로비트,샤프트"
대유에이피,자동차 스티어링휠
모트렉스,차량용 인포테인먼트
베뉴지,"백화점,예식장업"
브랜드엑스코퍼레이션,"애슬레저의류, 생활/청결 용품"
브이씨,골프용 거리측정기
브이티,"화장품, 라미네이팅필름, 라미네이팅기계"
삼기,자동차부품
아이비김영,"오프라인 학원, 온라인강의"
아이에스이커머스,"해외, 국내상품 소싱 및 판매대행 서비스"
아이윈,시트히터
엔바이오니아,양전하필터(정수기)
영화테크,자동차 정션박스 등
위니아,"김치냉장고, 에어컨, 냉장고, 에어가전, 세탁가전 등"
유니테크노,"자동차 부품, 전기차 부품, 배터리 셀케이스, ESS 배터리 모듈, SBW 및 EPB, EPS 전동화 부품"
유비온,학습관리시스템 등 에듀테크 플랫폼 (코스모스) 및 교육서비스
자이글,적외선 가열 조리기
정상제이엘에스,어학교육업
청담글로벌,글로벌 화장품 유통
캐스텍코리아,자동차용 터보차저 부품
코스나인,화장품
클리오,"색조화장품, 기초화장품"
트루윈,"자동차용 센서(APS, TPS, IAPS, SLS)"
패션플랫폼,여성복
한독크린텍,정수기 필터
현대바이오,화장품 및 화장품원료
현대바이오랜드,"천연물질 추출물, 미생물 배양제품"
GS리테일,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대"
SNT모티브,"자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포) 제조,도매"
강원랜드,"카지노,관광호텔,골프장,스키장,체육시설 운영"
경동나비엔,"가정용기름보일러,입형,횡형 온수보일러,가스보일러,버너,흡수식 냉온수기,전기보일러,진공온수보일러,태양열보일러 제조,판매"
대구백화점,"백화점운영,임대사업(백화점 코너)"
대원강업,"차량용스프링,기계부속,시트,타이어체인,합성수지제품,철도용스파이크 제조,도매"
대한방직,"면사,화섬사,면직물 제조,판매,건설"
동원금속,"자동차부품(도어후레임,머플러,임팩트빔),강관 제조,판매"
세원정공,"자동차부품(차체류,램프류) 제조"
세이브존I&C,"대형할인점(백화점)/부동산 임대/주차장,문화센터 운영"
세종공업,"자동차부품,자동차소음기(머플러),배기가스정화기,배기계통부품 제조"
신일전자,"가정용 전기기구(선풍기,난로,세탁기),전자기구,연구기구 제조,수출입"
유니온머티리얼,"페라이트,세라믹 제조,도매"
인디에프,"여성의류,남성의류,캐쥬얼웨어 제조"
하나투어,"일반여행알선,컴퓨터프로그램 개발,보급,통신판매"
한국콜마홀딩스,"경영컨설팅,무역,과학및기술서비스업,도매"
한국타이어앤테크놀로지,타이어 제조
호텔신라,"면세판매,관광숙박,외식사업,예식업"
CBI,엔진부품
까스텔바작,골프의류 및 골프잡화
네오팜,생체기능성(아토피)보습제
대성파인텍,"자동차부품(시트,도어) 제조"
멀티캠퍼스,성인/기업전문 교육서비스
메가엠디,"의학, 치의학, 법학 전문대학원, 약학대학 입학시험 대비 강의"
모두투어,"항공권판매수수료,해외여행알선"
성우하이텍,자동차범퍼
씨앤씨인터내셔널,색조 화장품
아가방컴퍼니,유아용 의류 및 용품
아우딘퓨쳐스,"기초화장품, 마스크팩 등"
엠에프엠코리아,"남성,여성,남아,여아용 면의류"
우수AMS,"엔진, 조향 및 기아변속기 부품"
이녹스,"FPCB소재,반도체PKG소재,디스플레이소재,OLED소재"
이원컴포텍,에어서스펜션 시트/일반고정형 시트/스프링서스펜션 시트
제로투세븐,유아동복 및 용품
젬백스링크,의류제품
케이엠,클린룸용Wiper
토박스코리아,유아동 신발
풍강,자동차용너트류
피코그램,"정수기, 정수기 필터"
BGF리테일,체인화 편의점
DN오토모티브,자동차용 밧데리
SG글로벌,"자동차시트커버(Seat Trim Cover), 면사, 면ㆍ혼방사 등의 제조 및 판매"
국동,"셔츠,스웨터,파자마(섬유제품) 제조,판매,수출/부동산 임대"
금호타이어,"타이어,튜브 제조,도매,무역"
다이나믹디자인,"타이어 금형, 타이어 제조설비"
모토닉,"자동차용 기화기(캬브레타,다이캐스트,연료펌프) 제조,판매"
백산,"P.U.인조피혁,부직포인공피혁 제조,무역"
서연이화,자동차 도어 트림 및 시트
신세계푸드,"단체급식, 식자재유통, 외식"
애경산업,"Age 20's,루나, 트리오, 2080치약, 순샘, 제트 등"
에스엠벡셀,"자동차부품(워터펌프,오일펌프,엔진헤드(GV6),프론트케이스) 제조"
우신시스템,"자동차차체자동화용접조립라인,용접설비,자동용접장비 제조,판매"
유니켐,"피혁 제조,도매,무역,부동산임대"
이마트,대형마트
제이에스코퍼레이션,핸드백 및 지갑
진도,"모피제품 제조,가공"
태평양물산,"봉제의류(자켓,파카,코트),침구 제조,우모가공,생활용품 도소매,무역"
한국앤컴퍼니,비금융지주회사
화승알앤에이,자동차용 고무제품
ES큐브,"텐트, 원 ·부자재"
PN풍년,압력솥
남화산업,골프장 서비스
노랑풍선,"국내외여행 알선, 항공권 판매"
대원산업,자동차시트
더네이쳐홀딩스,"의류, 여행용 가방 및 잡화류"
도이치모터스,수입자동차
디와이씨,자동차 부품
디지털대성,대성N스쿨 (교육 프랜차이즈)
배럴,래쉬가드 및 워터스포츠 등
삼천리자전거,자전거
씨티케이,완제 화장품 (색조 및 기초)
아이스크림에듀,아이스크림홈런
