Company,items
BNK금융지주,금융지주회사
부국증권,"유가증권 매매,위탁매매,인수,주선"
신한알파리츠,비거주 부동산 임대 서비스업
코람코더원리츠,서울 영등포구 여의도 소재 하나금융투자 빌딩
한화생명,생명보험
현대차증권,"유가증권의매매,위탁매매,유가증권의 중개,대리/부동산 임대"
IBKS제17호스팩,금융 지원 서비스
교보13호스팩,기업 인수 및 합병
다우데이타,"Autodesk 제품군 및 보안, 백신 소프트웨어 등"
대신밸런스제13호스팩,금융 지원 서비스업
리드코프,화공약품운반
삼성스팩4호,기업인수합병
스톤브릿지벤처스,"창업투자, 사모투자"
신영스팩8호,기업인수
신한제9호스팩,SPAC 합병
에이티넘인베스트,벤처캐피탈
엔에이치스팩25호,기업인수합병
유안타제12호스팩,기업인수합병
한화플러스제2호스팩,-
KB금융,-
SK디앤디,"비주거용 부동산개발 및 임대(오피스, 지식산업센터, 호텔 등)"
교보증권,"유가증권 매매,중개,대리,인수"
동양생명,생명보험
디앤디플랫폼리츠,부동산 투자 및 관리
신한지주,금융지주회사
카카오뱅크,은행 및 금융서비스
한국금융지주,금융지주회사
흥국화재,손해보험
CNH,투자자문
메이슨캐피탈,리스수입
미래에셋드림스팩1호,기업인수합병
미래에셋벤처투자,중소기업 창업투자 관련 고유계정/투자조합 관련 수익
미래에셋비전스팩1호,기업인수합병
삼성스팩8호,기업인수합병
엔에이치스팩24호,기업인수합병
코리아에셋투자증권,"IB금융자문, 채권인수 및 매매, 투자중개, 펀드운용 등"
하나금융22호스팩,기업인수합병
하이제7호스팩,기업인수합병
DGB금융지주,지주회사
SK리츠,서울 중구 소재 SK서린빌딩 및 전국 116개 주유소 임대 운영
메리츠금융지주,투자사업
미래에셋생명,생명보험상품
삼성증권,"유가증권의 매매,위탁매매,인수주선"
삼성카드,"신용카드업,상품신용판매,현금서비스,카드론,리스,기업대출,여행업무,통신판매"
유화증권,증권업
이리츠코크렙,부동산투자회사
이스타코,부동산 분양/입시학원 운영
한국자산신탁,"부동산 신탁 서비스, REITs"
한화리츠,부동산투자
미래에셋비전스팩2호,기업인수합병
신한제10호스팩,금융서비스(기업인수목적 회사)
에이치엠씨제5호스팩,합병을 유일한 사업목적으로 함
엔에이치스팩26호,기타 금융 지원 서비스업
엔에이치스팩28호,기타 금융 지원 서비스업
유안타제10호스팩,기업인수목적회사
유안타제9호스팩,기업인수목적회사
유진스팩7호,합병
키움제7호스팩,기업 인수합병
DB손해보험,"자동차보험,화재보험,해상보험,특종보험,장기보험"
NH올원리츠,부동산투자
NH투자증권,"증권업,종합금융"
SK증권,"증권업,부동산 임대"
마스턴프리미어리츠,"프랑스 파리 소재 크리스탈파크, 프랑스 아마존 라스트마일 물류센터, 인천 항동 스마트물류센터"
모두투어리츠,"호텔 부동산 취득, 관리, 개량 및 처분"
미래에셋글로벌리츠,부동산 임대업
신한서부티엔디리츠,부동산투자
유안타증권,"유가증권 매매,중개,대리,인수"
제주은행,"은행업무,외국환업무,신탁업무"
한양증권,증권업
한화투자증권,"유가증권 위탁매매,자기매매,인수주선"
DSC인베스트먼트,투자조합 결성 및 투자
IBKS제19호스팩,기업인수 및 합병
IBKS제21호스팩,기업인수 및 합병
TS인베스트먼트,투자조합 결성 및 투자
글로벌텍스프리,환급창구운영사업
리더스 기술투자,금융투자
린드먼아시아,"투자조합, PEF 결성 및 투자"
신영스팩7호,기업인수
신영스팩9호,기업인수
유진스팩6호,합병
컴퍼니케이,중소 벤처기업 투자
하나26호스팩,기업인수합병
ESR켄달스퀘어리츠,부동산투자
삼성생명,"생명보험,부동산 임대"
신영증권,증권업
코리안리,금융보험/부동산 임대
한국토지신탁,부동산신탁 등
DB금융스팩9호,기업인수 및 합병
IBKS제20호스팩,기업인수 및 합병
LB인베스트먼트,중소기업 창업투자
SV인베스트먼트,중소/벤처기업 투자 및 육성
교보11호스팩,기업인수 및 합병
교보12호스팩,기업인수 및 합병
상상인,IT 통합 솔루션
상상인제3호스팩,기업인수 및 합병
신한제8호스팩,SPAC합병
엔에이치스팩20호,기업 인수합병
유진스팩9호,기업인수합병
케이비제22호스팩,기업인수목적
하나금융21호스팩,기업인수합병
한국제10호스팩,기업인수합병
대신증권,"유가증권 위탁매매,인수주선,자기매매 기타 금융서비스"
상상인증권,유가증권 매매
우리금융지주,금융지주
우리종금,"종합금융,주택할부금융,부동산"
제이알글로벌리츠,벨기에 파이낸스 타워
케이탑리츠,부동산 임대
코람코에너지리츠,부동산 투자 및 관리
키움증권,"유가증권의 매매, 위탁, 인수, 주선"
한화손해보험,손해보험
삼성머스트스팩5호,기업인수합병
엠벤처투자,벤처캐피탈
이베스트투자증권,유가증권위탁매매
인카금융서비스,보험 판매
케이비제21호스팩,기업인수목적회사
케이비제23호스팩,기업인수목적
큐캐피탈,"사모투자(PEF),벤처투자"
푸른저축은행,대출이자
하나금융23호스팩,기업인수합병
하나머스트7호스팩,기업인수목적
DB금융투자,"유가증권,위탁매매,인수,자기매매"
다올투자증권,"금융업, 서비스, 부동산"
다우기술,"인터넷솔루션 개발,도매,IT컨설팅,시스템 설계,자문,인터넷관련서비스/부동산분양,개발,임대"
롯데리츠,부동산투자
미래에셋맵스리츠,부동산 임대업
스틱인베스트먼트,사모펀드(PEF)
현대해상,손해보험(자동차보험)
나우IB,"투자조합, PEF 결성 및 투자"
대성창투,투자서비스
비엔케이제1호스팩,기업인수합병
삼성스팩6호,기업인수합병
신한제7호스팩,SPAC
엔에이치스팩27호,기타 금융 지원 서비스업
우리기술투자,창업자에 대한 투자 및 융자
우리벤처파트너스,"창업투자금융, 벤처기업투자 등"
케이프,선박엔진용실린더라이너
키움제6호스팩,기업 인수합병
하나금융20호스팩,금융지원 서비스업
하나금융24호스팩,기업인수합병
하나금융25호스팩,기업인수합병
하이제6호스팩,기업인수합병
한국캐피탈,리스수수료
한화플러스제3호스팩,기업 인수 합병
JB금융지주,금융지주 회사
KB스타리츠,"벨기에 North Galaxy Towers, 영국 Samsung Europe HQ"
NH프라임리츠,부동산 투자
기업은행,은행업
롯데손해보험,손해보험업
미래에셋증권,"유가증권매매,유가증권위탁매매,유가증권인수"
삼성FN리츠,대치타워 및 에스원빌딩
에이플러스에셋,보험대리 및 중개업
엔에이치스팩19호,기타 금융지원(SPAC)
이지스레지던스리츠,"부동산투자, 취득, 매매, 임대"
하나금융지주,기타 금융
SBI인베스트먼트,벤처캐피탈
대신밸런스제14호스팩,금융 지원 서비스업
삼성스팩7호,기업인수합병
엔에이치스팩23호,금융 지원 서비스
유안타제13호스팩,금융 지원 서비스
한국제11호스팩,기업인수합병
