Company,items
AJ네트웍스,"렌탈(파렛트, OA장비, 건설장비)"
HDC현대산업개발,"외주주택, 자체공사, 일반건축, 토목 등"
HD한국조선해양,"선박,해양구조물,엔진,펌프 전동기,중전기,중장비 제조/자동창고,물류시스템"
KTis,"114전화번호안내, 고객센터"
LX홀딩스,지주회사
STX,"에너지 원료(석탄,석유),산업기자재(기계부품) 도매"
국보,"화물자동차운송,콘테이너운송,수출입화물보관,도로운송,CY보관,하역"
노루페인트,페인트 제조
대림통상,"수전금구,비데,위생도기,샤워부스,타일,양식기,무역"
롯데지주,지주회사
삼부토건,"토목공사,건축공사,포장공사,건설업,분양사업/건설자재 제조"
삼성엔지니어링,"산업설비,건물,구축물,토목시설의 설계,시공,공사감리"
삼익THK,"직선운동시스템,메카트로시스템,기타정밀 자동화기기 제조,판매/전자상거래,인터넷 관련 s/w,h/w 개발,판매,유지보수"
삼호개발,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대"
시디즈,의자
신세계건설,"토목,건축,건축관련기술서비스,빌딩관리용역,골프장,내장공사,시설개보수,설계용역"
아이에스동서,"타일,위생도기,콘크리트파일,P.C관,침목 제조,도매"
우진,원전용계측기
인터지스,"화물운송,알선,하역"
일성건설,"건축공사,토목공사,전기공사"
진에어,"여객, 화물 등 항공운송"
코오롱글로벌,"토목공사,일반건설,주택건설,해외건설,소각로설비공사/환경플랜트,폐처리기 제조"
포스코인터내셔널,"무역(철강,화학,자동차부품),수출주선,대행,알선,가공원단,폴리우레탄,자동차시트 제조"
한솔로지스틱스,"지류펄프 보관창고 운영/화물취급,화물운송알선,물류컨설팅/종합쇼핑몰운영,통신판매,인터넷백화점"
한일홀딩스,지주사업
한화,"화약,화공품,자동선반류,공작기계 제조,전자교환기,건설,정보통신,종합무역/임직원 및 개인대상 교육,세미나 및 워크샵 중계,동영상광고"
현대건설,"공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스"
현대로템,"철도차량, 특수중기, 산업기계"
KD,건설사업(완성건물)
KT서브마린,해저케이블등의 건설 및 유지보수 업무
그린플러스,"첨단유리온실, 온실용자재설치공사, 알루미늄 압출/가공제품"
넥스턴바이오,CNC자동선반
동방선기,"조선기자재, 선박용 배관"
동양파일,PHC파일
드림시큐리티,정보보안솔루션
삼영엠텍,"구조용 특수장치, 교량부품"
삼표시멘트,"시스템통합(SI), 네트워크장비"
셀루메드,"의료기기, 바이오시밀러 및 헬스케어사업"
에스에프에이,"디스플레이, 2차전지, 반도체 제조설비 및 공장자동화기기"
에스엠코어,"자동화물류서비스, 자동화공정설비"
에쎈테크,LPG밸브
웰크론,"기능성 침구용품, 크리너, 필터, 방탄·방검복"
윈하이텍,데크 플레이트(건설용거푸집)
유신,토목설계 및 감리
이엔코퍼레이션,온라인정보제공
자연과환경,"스테인레스파이프, 다공성식생블록,조경원예자재"
지엔씨에너지,"비상발전기, 소형열병합발전설비, 바이오가스발전설비"
켄코아에어로스페이스,항공가공품 및 조립품
토탈소프트,해운물류소프트웨어 (CATOS 등)
티에스넥스젠,"발전설비 Damper, 전력설비 Busway"
파라텍,소방기기
팬스타엔터프라이즈,자동차 정비용 리프트
하이즈항공,B787 날개구조물 등
화성밸브,"가스밸브, 매몰용접용 볼밸브, 온수분배기"
휴림로봇,제조업용로봇및서비스로봇
희림,설계 및 감리용역
HDC,"토목공사,건축공사,아파트분양사업,재개발/재건축사업"
금강공업,"건설가설재,강관,거푸집 제조,판매"
금호건설,"종합건설/여객운송,관광/부동산 임대,분양"
대우건설,"아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비 대여"
대한전선,"전력선,통신케이블,적산계기,스텐레스압연제품,광케이블,초고압선,알루미늄 제조,도매/전기공사"
대한해운,"외항화물운송,국제해운대리점"
도화엔지니어링,"토목설계,건축설계,종합감리전문업,종합기술용역,엔지니어링"
동아지질,"보링그라우팅공사,토공사,철근콘크리트공사,상하수도공사,비계구조물해체공사,수중공사/지질조사,시공감리"
세방,"도로운송,항만하역,창고,지게차 임대"
수산중공업,"유압브레이커,트럭크레인,플라즈마 파암장비,특장차,산업기계,건설기계 제조,도매"
아이마켓코리아,B2B 전자상거래
웰바이오텍,"피혁의류 도,소매,의류 판매,수입,피혁(GRAIN LEATHER) 제조"
코아스,"사무용가구,금속가구 도매,제조"
코오롱,지주회사
태영건설,"종합건설업(토목공사,도로공사,건축공사,관급공사,환경공사,상하수도공사,하수종말처리공사)/부동산 임대,매매"
한국종합기술,"토목설계,건축설계,감리,측량/토목건축공사"
화천기공,"CNC선반,CNC밀링,연마기(금속공작기계),MC공작기계,COPY밀링기계,주방품 제조,도매"
효성,"스판덱스,합성원사,나일론,폴리에스터,타이어코드지,PET병,수지제품,중전기제품(변압기,차단기),사무용기계,컴퓨터 제조/건축공사"
NICE평가정보,"개인 및 기업정보, 솔루션"
TKG애강,"PB/CPVC 파이프, 연결구"
국영지앤엠,강화유리
뉴로메카,"협동로봇, 협동로봇 자동화 플랫폼, 로봇제어기 등"
대창솔루션,내연기관구조재(선박엔진용MBS)
동원개발,도급공사
동일금속,"크롤러크레인용 트랙슈 어셈블리, 굴삭기용 아이들러 트랙슈 스프링 등"
디와이피엔에프,뉴메틱 컨베잉 시스템(분체이송시스템)
레드캡투어,"여행알선, 렌터카"
메디콕스,XML/SGML 관련 제품 및 솔루션
부스타,"관류보일러,진공온수보일러,무압온수보일러,난방기 제조,판매"
사람인,"온라인 채용광고(취업포털), 인재파견, 취업지원 등"
삼일기업공사,도급공사
상지카일룸,"건설업, 고급빌라 건축 및 일반 건축, 주택공급 등"
성도이엔지,"반도체크린룸 시공, 반도체장비제조"
쎄트렉아이,"인공위성시스템, 위성지상국, 위성부분품 개발 및 제조"
아스플로,"강관, 피팅, 밸브류 등"
에이비프로바이오,소형 머시닝센터
영풍정밀,"펌프, 밸브, 주물"
와이지-원,"엔드밀, 탭, 드릴"
우림피티에스,"트랜스미션,감속기,기어전동축 제조"
이크레더블,"전자신용인증서비스(정보),소프트웨어 개발"
인선이엔티,건축폐기물처리
코메론,"줄자, 냉간압연"
태광,"각종 배관자재, 관이음쇠류 제조 및 판매"
한국정밀기계,"금속절삭가공기계(수치제어식 수평보링머신,오면가공기,수직선반,플로우보링머신),산업기계(전용기,공작기계부품) 제조,판매"
협진,기계제조
GS건설,"토목공사,건축공사,주택공사,산업플랜트공사,리모델링공사,시설물유지관리공사/산업설비설계,감리 용역,수출입/에너지관리 진단,연구개발"
SK네트웍스,"정보통신 유통, 자동차 관리, 글로벌 트레이딩, 호텔&리조트"
SK렌터카,승용자동차 임대
STX중공업,"조선기자재, 기계부품"
동양,레미콘/건설공사/산업용 송풍기
삼성물산,"도소매, 건설, 남자용 정장 제조업 등"
성신양회,"시멘트,레미콘 제조"
한일시멘트,"시멘트, 레미콘, 레미탈"
한화에어로스페이스,"항공기엔진,특수방산장비 제조/정비사업"
현대글로비스,"화물운송주선,화물포장,자동차 수리/산업용 기계장비 임대"
현대미포조선,"선박수리,선박개조,선박신조"
SCI평가정보,"신용조회,채권추심,신용조사"
SG&G,생활정보신문
SGC이테크건설,"건축공사, 플랜트설비, 토목공사"
강원에너지,플랜트설비(산업용 보일러)
고려시멘트,"시멘트, 레미콘"
남화토건,"건축공사, 토목공사"
동화기업,"PB, MDF, 표면재,온돌마루, 창호, 도어 등"
듀오백,사무용 및 가정용 의자
디케이락,계장용 피팅 및 밸브
로보스타,"제조용 로봇, FPD 장비, IT부품 제조장비"
리파인,권리조사
삼목에스폼,"갱폼,알루미늄폼,특수폼,알루미늄압출재"
서산,"레미콘,전주,고강도파일,흄관"
씨에스베어링,"풍력용 선회베어링, 산업용 선회베어링"
에스비비테크,"베어링, 감속기"
에이스침대,침대
제일테크노스,DECK PLATE
지투파워,"수·배전반, 태양광발전시스템, 인버터(PCS)"
진성티이씨,트랙롤라. 플로팅 씰
케이피에프,볼트류
태웅로직스,"3자물류주선 (복합운송, 프로젝트운송, CIS운송 등)"
CJ대한통운,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting"
HMM,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운"
KIB플러그에너지,"열교환기,압력용기,저장탱크,산업용보일러 제조"
LIG넥스원,정밀유도무기 등
SK오션플랜트,해상풍력 하부구조물
기신정기,"몰드베이스,금형부품,정밀기계기구 제조,도매,무역"
까뮤이앤씨,"토목공사,건축공사/부동산 임대"
대한항공,"여객운송,화물운송,항공기 제조,판매,정비수리/기내식 제조판매,면세품 판매"
두산밥캣,"Compact Equipment, Heavy Equipment, Portable Power"
디와이,"자동차부품,유공압기기,소각로,자동세차기,하훼유통,발효기,모터 제조"
