Company,items
DSR,합섬섬유로프
KG케미칼,"콘크리트혼화제, 비료, 친환경농자재, 수처리제"
KPX케미칼,"PPG,PU RESIN,우레탄수지,대향막박리재,반도체 CM PAD,Polyether Polyol,산업용기초화학제품,화공약품 제조,판매"
SK케미칼,"PETG 수지, PET 수지, 바이오디젤, 백신"
SUN&L,"합판,가정용가구(선우드),MDF,제재목,하드보드 제조/부동산 임대"
경농,"완제농약(잡초약,살충제,살균제) 제조"
경동인베스트,지주회사
국도화학,"에폭시수지,폴리아마이드수지,아염소산소다 제조,도소매"
금양,"발포제,사카린,OPTSA,베나졸,TCA 제조"
동국홀딩스,"후판,철근,강판,형강,앵글,찬넬,평철 제조,판매"
미원화학,"계면활성제, 황산및분황"
삼양패키징,PET 용기 및 아셉틱 OEM
삼양홀딩스,"지주회사,경영자문컨설팅"
신대양제지,"골판지용 골심지,라이너지 제조,수출입"
신풍,"마닐라판지 제조,도소매"
영풍제지,"골판지원지,지관원지,라이나원지 제조"
일진다이아,"공업용 합성다이아몬드 제조,도매,수출입"
조비,"복합비료(연초용,수도용,시판용,특수작물용),양액재배용 비료,완효성 비료,부직포 제조,무역"
태경산업,"제강용 정련제(프락스),카바이드,중질탈산칼슘 제조,판매/고속도로휴게소 운영"
한창제지,"마닐라판지,고급백판지(ALL PULP) 제조,판매,수출입"
현대비앤지스틸,"스텐레스냉연강판,특수강 제조"
나노브릭,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)"
대호특수강,냉간압조용선재
레몬,"EMI Shield Can, 나노멤브레인 등"
삼보판지,"골판지,골판지상자"
세아메카닉스,"TV스탠드, 전기 수소차 부품 등"
스타플렉스,"광고용플렉스(조명용,비조명용)"
아이티센,시스템통합 및 IT서비스
에코앤드림,배출가스 저감용 촉매 및 이차전지 양극활물질 전구체
에코프로,"환경소재,화학필터,이차전지소재등"
엠투엔,산업용자동제어반기기
케이피엠테크,"표면처리약품, 전자동 도금설비"
케이피티유,"Vacuum Treatment, Plasma Surface Treatment"
티케이케미칼,"수지, 폴리에스터, 스판덱스"
AK홀딩스,지주사업
CS홀딩스,"브랜드 수익, 자회사 배당"
DL,지주회사
DSR제강,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조"
SKC,"폴리에스테르필름,합성수지,LCD용 필름 제조"
롯데정밀화학,"염소·셀룰로스계열, 암모니아 계열, 전자재료 등 화학제품 제조"
서원,"비철금속(황동 빌레트,인코트) 제조,재생원료생산"
영보화학,"가교발포폴리에틸렌(아티론,영보드) 제조,판매"
진양산업,"합성수지,폴리우레탄스폰지 제조,도매,수출입"
태광산업,"석유화학제품(PTA,AN),화섬사,직물 등"
풍산홀딩스,"동판제,대,관,봉,선,소전,동파이프 제조,도매,무역"
화인베스틸,"조선용 형강(부등변 부등후 앵글, 부등호 앵글, 등변앵글 평철 등)"
효성화학,-
HRS,실리콘 컴파운드제품 제조
리더스코스메틱,화장품
무림SP,"아트지,CCP지"
삼륭물산,카톤팩
삼보산업,알미늄괴
세토피아,보안솔루션 개발 외
신스틸,"컬러강판, 아연도금강판 등 강판류"
엔터파트너즈,"컴퓨터, 복사기 등의 부품"
오공,"접착제,씰란트,광택제,연마제"
원일특강,특수강
펌텍코리아,화장품 용기
포스코엠텍,철강포장용역 및 Al탈산제 생산
한일화학,산화아연
남선알미늄,알미늄샷시 제조/환경사업
대한유화,"폴리프로필렌,고밀도폴리에틸렌,나프타분해유분,올레핀류,혼합C4류,분해가솔린 제조"
동방아그로,"농약(잡초발생전 토양처리형 밭잡초약,부메랑,주움,그라목손) 제조,도매"
동성케미컬,
동양철관,"수도용 도복장 강관,주물(강관말뚝),가스관 제조/아파트건설"
동원시스템즈,포장용 플라스틱제품 제조 외
삼영무역,"화공약품, 안경렌즈"
성보화학,"완제농약(해비치과립,카스텔란),원제농약(슈퍼유나니,다이아톤) 제조,도매"
송원산업,"폴리머첨가제(PVC안정제,산화방지제),폴리우레탄수지,프라스틱첨가제 제조"
아주스틸,"프리미엄 가전용 고품질 컬러강판, 건자재 등"
애경케미칼,오르토프탈산디옥틸
영흥,와이어로프 등
유니드,"탄산칼륨,가성칼륨,가성카리,탄산카리(무기화합물),MDF(가공목재) 제조,도매"
이구산업,"동판.조,황동판.조,인청동판.조 제조,임가공/부동산 임대"
진양홀딩스,"투자,경영컨설팅"
진양화학,"레쟈,바닥재 제조"
코스모신소재,"이차전지양극활물질,기능성필름"
하이스틸,"강관 제조,도매"
한국주강,"주강,주물 제조,도매"
한솔홀딩스,"지주회사,경영자문컨설팅"
KBG,"실리콘 소재(실란 모노머, 실리콘 레진&폴리머, 실리콘 융합소재)"
KCI,"폴리머,레진,계면활성제"
국일신동,황동봉
나노,SCR촉매
레이크머티리얼즈,"LED, 반도체 소재 및 석유화학촉매"
쎄노텍,세라믹 비드
씨큐브,진주광택안료
파버나인,"알루미늄 소재 TV 외관재(프레임, 스탠드)"
한국알콜,주정
KPX홀딩스,지주회사
LG화학,"유화/기능/합성수지,재생섬유소,산업재,리튬이온전지,평광판,PVC 제조,도매"
SH에너지화학,"합성수지(PS/EPS,ABS수지) 제조"
WISCOM,"플라스틱제품(PVC컴파운드,ABS,PS가공) 제조,도매,임가공"
경인양행,"반응성염료,직접염료,산성염료,삼원색원료 제조,수출입"
대양금속,스테인레스 냉연강판 제조
대창,"황동봉,동합금괴 제조,판매"
롯데케미칼,"폴리프로필렌,고밀도폴리에틸렌,에틸렌글리콜,벤젠,에틸렌옥사이드,합성지,부산물 제조"
삼화왕관,"납세용 일반병마개,알루미늄캡,플라스틱캡 제조,판매,금속인쇄,수출"
세아특수강,"냉간압조용선재,마봉강,스테인레스봉강 제조"
아세아제지,"골판지원지,석고보드원지,크라프트원지,라이나원지,라이너지 제조,판매"
태경케미컬,"드라이아이스,액체탄산,고체탄산 제조"
페이퍼코리아,"제지(신문용지,중질지),합판 제조,건설,석유류 판매"
한국철강,철근. 단조강. 파이프
현대제철,"H형강,제철,제강,철근,압연,스테인레스,주강,시트파일 제조,수출입,중기부품(탱크바퀴)제조,판매"
황금에스티,"스테인레스 냉연, 열연"
경남스틸,"냉연강판,아연도강판, 산세코일, 열연아연도금강판, 전기아연도금강판 등"
동일철강,봉강
켐트로스,기타화학제품 제조업
효성오앤비,"혼합유박비료,유기복합비료,혼합유기질비료"
KG스틸,"철강재(냉연강판,아연도강판,칼라강판,석도강판,선재류,강관,형강,봉강),비철금속 제조,도매"
KISCO홀딩스,지주사업
OCI홀딩스,"타르제품,카본블랙,무수프탈산,농약원제,석탄화학제품,정밀화학제품,플라스틱창호재 제조,판매"
남해화학,"비료(요소,복합비료),공업제품원료 제조,도매"
대한제강,"제강,철재,철근,환봉,마환봉,빌레트 제조"
만호제강,"와이어로프,합성섬유로프,특수강선 제조,수출,임대"
백광산업,"가성소다,합성염산 제조,판매"
부국철강,철강
삼영,"합성수지(BOPP,캐파시타),PPC,랩,종이상자(카톤팩) 제조"
세아베스틸지주,"특수강,철도용품,자동차부품 제조,수출입"
세하,"백판지,마니라판지,지류,하수처리기계 제조/상하수도설비공사,수질오염방지시설공사"
제일연마,"연마석,다이아몬드공구 제조,도소매/주택건설"
조선선재,용접재료
코오롱플라스틱,엔지니어링플라스틱
