Company,items
GS,지주회사/부동산 임대
SK이노베이션,"석유정제,석유화학제품,윤활유제품,아스팔트제품,의약중간체 제조,판매,유전개발,대체에너지사업"
극동유화,"윤활유,유동파라핀,왁스,방수용시트,아스팔트 제조/수입자동차,부품 도매/가스충전,산업설비 청소"
대성산업,"주요소운영,기계판매 등"
DGP,풍력 및 태양광 발전업
스페코,아스팔트믹싱플랜트
에스에너지,"태양광발전시스템,태양전지모듈"
제이씨케미칼,"바이오디젤, 바이오중유 등"
HD현대에너지솔루션,"태양광 셀·모듈, PV시스템, ESS"
SK디스커버리,"화섬사(폴리에스테르원사(폴리에스터F,폴리에스터SF),폴리에스터직물,아세테이트),석유화학부문(TPA,DMT),섬유원료,직물,BOTTLE용CHIP,접착제,폴리우레탄 제조,"
금양그린파워,"플랜트, 발전소 및 신재생에너지 발전소 공사 및 용역"
에스아이리소스,유연탄
파루,"온습도 조절기(에어쿨), 무인방제기(야호)"
서남,고온초전도선재
HD현대,지주회사
씨에스윈드,풍력발전타워 제조
SDN,"태양광기자재 및 선박용엔진 도매, 태양광발전시스템 구축 및 설계"
바이온,"배너,타포린,화장품,자동차부품"
비에이치아이,"보일러,열교환기등"
오르비텍,"방사선안전관리, 항공기 정밀부품 제조 등"
윌링스,태양광 인버터 등
유니슨,"풍력발전기, 풍력타워"
태웅,자유형단조품
에코바이오,"판매시점정보시스템(POS), 금전등록기"
흥구석유,휘발유등
S-Oil,"석유제품,가스,윤활기유,윤활유,그리스,석유화학제품 제조,도매"
대명에너지,신재생에너지 발전 공사 및 용역
중앙에너비스,석유류도소매
SGC에너지,"증기, 전기, REC(신재생에너지공급인증서)"
수산인더스트리,전력발전설비 정비 용역
이아이디,"무선통신기기부품,전시용 핸드폰모형기(ADM) 제조"
한국쉘석유,"윤활유,그리스 제조,도매"
지오릿에너지,지열냉난방시스템
