Company,items
LG헬로비전,"케이블TV, 인터넷서비스 등"
갤럭시아에스엠,"스포츠중계권,스포츠마케팅,광고"
더블유게임즈,모바일게임
키다리스튜디오,"만화, 소설 등 콘텐츠 제작 및 유통, 판매, 컴퓨터 프로그래밍, 시스템 통합 및 관리업"
디지틀조선,위성서비스
룽투코리아,"모바일게임(열혈강호,검과마법)"
메쎄이상,"전시주최, 컨벤션 및 행사 대행업"
씨씨에스,케이블TV서비스 및 초고속인터넷서비스
아시아경제,광고 및 콘텐츠
애니플러스,방송통신사업
에스엠,"음반(CD,MC),연예 대리"
에이스토리,방송프로그램 제작
엠게임,"온라인 게임 개발 및 퍼블리싱(열혈강호온라인,홀릭2,영웅)"
이엠넷,온라인 검색광고 대행
초록뱀컴퍼니,운송
코퍼스코리아,콘텐츠 배급 및 제작
핑거스토리,"웹툰, 디지털 만화, 웹소설"
한국경제TV,"광고수입, 협찬수입"
CJ CGV,"영화상영,영화관 운영"
엔씨소프트,"인터넷머그게임(리니지),그룹웨어,인터넷커뮤니티 개발,유지,공급"
크래프톤,<배틀그라운드> 등 게임 소프트웨어
iMBC,"디지털콘텐츠,웹에이젼시"
네오위즈홀딩스,지주사업
삼화네트웍스,"시스템통합(SI), 시스템유지(SM)"
아이오케이,연예인 매니지먼트
에코마케팅,"온라인, 모바일 광고 종합대행업"
예림당,무선가입자망 단말기 및 차량용핸즈프리
위메이드,"미르의전설2, 미르4"
조이시티,온라인게임(프리스타일농구)
지니뮤직,디지털 음악 서비스 및 음원유통
카카오게임즈,"모바일, PC게임 퍼블리싱"
팬엔터테인먼트,"방송영상물,음반"
플레이디,온라인 광고 대행
한빛소프트,"게임(스타크래프트 등), 교육, 솔루션"
SBS,"TV,라디오방송,광고"
YG PLUS,"광고대행,광고물 제작"
이노션,광고대행 및 광고물의 제작 등
제일기획,"광고 대행/광고물,영화 제작,인쇄,출판"
콘텐트리중앙,"영화 및 방송프로그램 제작, 유통, 광고"
티와이홀딩스,지주사업
CJ ENM,"의류, 생활주방, 가전제품, 보석, 기타"
KX,방송채널사업 및 방송송출서비스
NEW,영화 투자 및 배급
디앤씨미디어,웹소설 콘텐츠
밸로프,기업인수합병
스카이문스테크놀로지,무선통신시스템용 중계기
알비더블유,음반 및 음원 등(콘텐츠)
위메이드맥스,실크로드 온라인
자이언트스텝,"광고VFX, 영상VFX 및 리얼타임 콘텐츠 제작"
캐리소프트,"영상 콘텐츠(30.05%), 공연(29.76%), 키즈카페(17.38%), 커머스(12.77%), 라이선스 및 기타(10.04%)"
컴투스,모바일게임
티비씨,"텔레비젼 방송,문화서비스,광고/출판,음반 제작,도매"
티쓰리,온라인 및 모바일 게임 등
SK텔레콤,"이동전화,무선호출서비스,부가통신"
인스코비,"시계,스마트그리드,도소매,소프트웨어개발"
NHN벅스,"디지털음원유통, 온라인음악서비스"
넥슨게임즈,기업인수합병
드림어스컴퍼니,온라인 음악 서비스
디어유,"모바일 어플리케이션(DearU bubble, Lysn)"
모비데이즈,기업인수합병
액션스퀘어,모바일게임
와이어블,공용기지국건설/관리
위지윅스튜디오,"VFX, 뉴미디어 등 특수영상 컨텐츠 제작"
펄어비스,온라인게임 개발 서비스(검은사막)
카카오,인터넷 서비스(인터넷 광고)
SAMG엔터,애니메이션 IP 기획 및 관련 제품 제작
SBS콘텐츠허브,"컨텐츠, 프로젝트"
YTN,광고/협찬 및 프로그램 제작
