Company,items
MH에탄올,"주정,탄산가스 제조"
모나리자,"화장지,미용티슈 제조,도매"
선진,조제동물사료
오뚜기,"라면,마요네즈,카레,스프,당면,소오스,토마토케첩,마가린,냉동생지(바게트,크로와상),참치캔,식초,3분짜장 제조"
오리온,스낵 등 과자류
카나리아바이오,"양계, 양돈 배합사료"
푸드웰,"깐밤, 통조림류, 딸기시럽류, 음료제품 등"
한국맥널티,커피 및 의약품
CJ씨푸드,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입"
CJ제일제당,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매"
농심,"라면,스낵,유지 제조,도매,수출입"
동원F&B,"참치캔,음료,냉동식품 제조,판매"
무학,소주
보락,"식품향료,식품첨가물,화학제품,껌베이스(자일리톨,에리스리톨),담배향료 제조,판매"
빙그레,"아이스크림,우유,스낵,유산균(욥닥터캡슐) 제조"
사조대림,"게맛살,어육연제품,식용류,배합사료 제조"
신송홀딩스,사업경영 및 관리자문
조흥,"휘핑크림,인스턴트이스트,프루츠칵테일,크림치즈,견과류,건조과일 제조,판매/주택 신축,판매"
하이트진로,소주
TS트릴리온,기업인수합병
매일홀딩스,유제품
보라티알,"유가공품, 소스류, 파스타류"
전진바이오팜,"방충방향제, 유해동물피해감소제, 기생충피해감소제"
커머스마이너,"건강기능식품, 블랙박스, 내비게이션 등"
케이씨피드,사료
하림,"육계, 육계가공식품"
흥국에프엔비,"과일음료(에이드베이스, 스무디, 착즙쥬스 등)"
동서,"식품 유통, 다류 및 연포장재 제조 등"
동원산업,지주회사
동원수산,"원양어업/수산물 제조,가공/참치어류 냉동냉장업"
롯데웰푸드,"껌,캔디,초코,비스켓,빙과"
마니커,"닭고기,햄,계육가공제품,계육,육가공제품 제조,판매,유통/양계관련사업/부동산임대/수출입대행"
사조씨푸드,횟감용 참치 및 기타 일반수산물
삼정펄프,"지류화장지,안면용,위생용 티슈 제조,판매"
샘표식품,간장
우성,"배합사료,Suit-feed(맞춤 TMR(육성우,건유우,착유우) 사료),농후사료,곡류(강피류 등 부산물) 제조,판매/부동산 임대,무역"
팜스코,"배합사료 제조,도매"
해태제과식품,"홈런볼, 오예스, 맛동산, 부라보콘 등"
매일유업,"유제품(우유, 분유, 발효유, 치즈, 음료 등)"
에스앤디,"일반기능식품소재, 건강기능식품소재"
인산가,죽염 및 죽염응용식품
태양,"휴대용 부탄가스, 에어졸캔, 외주수탁품"
교촌에프앤비,치킨 프랜차이즈
사조산업,"원양어업(참치,명태,오징어),육가공,참치통조림,장류 제조/냉동냉장 창고운영/부동산 임대/컴퓨터,소프트웨어 개발,도매/팝콘,구운김 도매"
삼양식품,"라면,스낵,유제품,장유,식용유,사료,향신료,건강음료(루이보스 티) 제조,도매"
대주산업,배합사료
스피어파워,화장품
우양,"HMR, 음료 베이스, 퓨레 등"
풍국주정,발효주정
한일사료,배합사료
남양유업,"시유,조제분유,발효유,이유밀,치즈,프렌치까페 제조,도매"
대상,"전분,라이신,물엿,과당,포도당,MSG및 사료,조미료,항생제,핵산,커피 제조,도매/토목공사,건축공사"
대한제당,"제당,가축용 배합사료,설탕,기능성감미료(자일로올리고당),외식산 제조,도소매/부동산 임대"
샘표,"간장,된장,고추장 제조,가공,판매,무역"
신라교역,"원양어업(참치,명태,휠레트,연육,명란,새우),어획물 판매/직물 수출"
크라운제과,"비스킷, 스낵, 당과"
크라운해태홀딩스,"비스켓,쵸코렛,사탕,웨이퍼 제조,도매"
CJ프레시웨이,"식자재유통, 단체급식"
DSEN,"외식프랜차이즈사업,육류가공,식자재유통등"
동우팜투테이블,"육계,삼계"
케이엠제약,"구강제품, 화장품,기타 생활용품"
큐로홀딩스,"DTIS, Probe Card, H.F PCB"
팜스토리,사료
SPC삼립,"빵,아이스크림,과자,케익,유산균음료,인스턴트식품,병조림,면류,식용유 제조,판매"
사조오양,"원양어업/수산물가공(게맛살) 제조,수출입/냉동 및 냉장보관/부동산 임대"
삼양사,설탕
메지온,"발기부전증치료제, 전립선비대증치료제"
신라에스지,수산물도매
엠에스씨,식품첨가물
이지바이오,"자돈사료, 사료첨가제"
진로발효,주정
체리부로,"육계, 사료"
고려산업,"배합사료,플라스틱용기 제조/부동산 임대"
농심홀딩스,"지주회사,투자자문,경영컨설팅 서비스"
대한제분,"소맥분,토코밀,프리믹스,밀가루조제품,제분부산물 제조/파스타 수입,판매"
사조동아원,"제분, 배합사료 제조"
오리온홀딩스,자회사 관리 지주사업 등
풀무원,"두부류,생면류,나물류,냉동류,조미류,김치류,묵류,녹즙,과채음료,건강보조식품 판매,제조,생식품 수출"
하이트진로홀딩스,지주회사
우리손에프앤지,"양돈업, 도축업"
창해에탄올,"주정(발효주정, 정제주정) 등"
하림지주,지주사업
한국가구,소파
대상홀딩스,지주회사
보해양조,"주류(소주,매취,실비우스,위스키) 제조,음료 도매"
한성기업,"냉동식품,햄제품 제조,도매,보관/원양어업"
현대코퍼레이션홀딩스,"브랜드사업, 육류유통"
마니커에프앤지,"육가공품, 튀김류, 패티류, 삼계탕 등"
미래생명자원,동물용 사료 및 조제식품 제조업
비비씨,덴탈 케어용 소재(테이퍼모 등)
에이치피오,"건강기능식품(유산균, 비타민 등)"
오에스피,프리미엄 반려동물 사료
이지홀딩스,지주회사
정다운,"통오리,정육,오리털,훈연육"
제주맥주,맥주
지어소프트,"Mobile Solution & Platform, Internet GIS, Mobile Service"
