종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
60310,3S,KOSDAQ,중견기업부,2555,20,0.79,2525,2605,2520,291805,744657790,1.24011E+11,48536642
95570,AJ네트웍스,KOSPI,,4345,5,0.12,4340,4380,4315,52701,228838520,2.03443E+11,46822295
6840,AK홀딩스,KOSPI,,18960,-40,-0.21,19140,19300,18740,7259,137487650,2.51174E+11,13247561
54620,APS,KOSDAQ,중견기업부,8090,-370,-4.37,8470,8520,7800,66903,554956810,1.64989E+11,20394221
265520,AP시스템,KOSDAQ,우량기업부,19200,-120,-0.62,19320,19530,19160,37643,727761290,2.93403E+11,15281421
211270,AP위성,KOSDAQ,벤처기업부,11710,-220,-1.84,11800,11980,11560,66242,776361970,1.76614E+11,15082304
27410,BGF,KOSPI,,3600,5,0.14,3595,3640,3575,56635,203621250,3.4458E+11,95716791
282330,BGF리테일,KOSPI,,171600,1300,0.76,173400,173400,170000,27146,4661475100,2.96592E+12,17283906
126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,5030,-70,-1.37,5130,5270,5010,102326,522220210,2.05571E+11,40869014
138930,BNK금융지주,KOSPI,,6770,20,0.3,6830,6840,6760,701155,4761343400,2.20658E+12,325935246
1460,BYC,KOSPI,,427500,-1500,-0.35,422500,429000,421000,31,13098000,2.67023E+11,624615
1465,BYC우,KOSPI,,141200,800,0.57,140400,142000,140400,95,13367100,30412362000,215385
13720,CBI,KOSDAQ,중견기업부,1483,-22,-1.46,1489,1538,1470,143476,214282813,45107162314,30416158
83790,CG인바이츠,KOSDAQ,기술성장기업부,3685,55,1.52,3660,3740,3545,141994,520014180,2.83355E+11,76894182
1040,CJ,KOSPI,,68500,-1900,-2.7,70200,70200,68100,167458,11554310800,1.99862E+12,29176998
79160,CJ CGV,KOSPI,,8840,-90,-1.01,9000,9000,8810,141325,1256156800,4.21929E+11,47729562
35760,CJ ENM,KOSDAQ GLOBAL,우량기업부,67300,800,1.2,67500,69200,66800,145172,9887608700,1.47583E+12,21929154
311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,17630,130,0.74,17500,17890,17000,18903,330319710,1.03641E+11,5878672
00104K,CJ4우(전환),KOSPI,,58000,-1300,-2.19,58700,59300,58000,5695,332972100,2.45138E+11,4226512
120,CJ대한통운,KOSPI,,77700,-3100,-3.84,78400,79200,76300,221707,17240473300,1.77252E+12,22812344
11150,CJ씨푸드,KOSPI,,3050,-80,-2.56,3130,3175,3040,97292,301303405,1.09589E+11,35930773
11155,CJ씨푸드1우,KOSPI,,20550,100,0.49,20450,20700,20200,98,2003350,4110000000,200000
1045,CJ우,KOSPI,,44050,-450,-1.01,44500,44750,43800,3126,138106300,99562823150,2260223
97950,CJ제일제당,KOSPI,,310500,13500,4.55,304000,317500,302000,153445,47668444500,4.67432E+12,15054186
97955,CJ제일제당 우,KOSPI,,136600,2600,1.94,134800,138700,134800,3690,507036700,1.81327E+11,1327433
51500,CJ프레시웨이,KOSDAQ,우량기업부,26250,-200,-0.76,26350,26550,26000,17933,470294300,3.11629E+11,11871586
58820,CMG제약,KOSDAQ,중견기업부,2505,35,1.42,2495,2540,2465,1139280,2845274590,3.47925E+11,138892244
23460,CNH,KOSDAQ,중견기업부,2050,25,1.23,2025,2050,2010,5474,11051365,76260000000,37200000
56730,CNT85,KOSDAQ,중견기업부,1314,-56,-4.09,1358,1379,1290,454870,602772067,57210845184,43539456
480,CR홀딩스,KOSPI,,10570,-730,-6.46,11080,12220,10510,1764383,20268012080,2.97491E+11,28144832
65770,CS,KOSDAQ,벤처기업부,1424,-15,-1.04,1439,1439,1355,36758,51047537,27641449120,19411130
83660,CSA 코스믹,KOSDAQ,관리종목(소속부없음),1301,-53,-3.91,1325,1379,1280,51029,67835463,79682582481,61247181
590,CS홀딩스,KOSPI,,58200,-700,-1.19,58900,58900,58100,698,40879100,67190852400,1154482
12030,DB,KOSPI,,1942,-31,-1.57,1971,1990,1938,1594925,3115916594,3.9068E+11,201173933
404950,DB금융스팩10호,KOSDAQ,SPAC(소속부없음),2120,0,0,0,0,0,0,0,12380800000,5840000
456440,DB금융스팩11호,KOSDAQ,SPAC(소속부없음),2085,-15,-0.71,2095,2095,2065,125224,260229240,11081775000,5315000
367360,DB금융스팩9호,KOSDAQ,SPAC(소속부없음),2125,0,0,0,0,0,0,0,10285000000,4840000
16610,DB금융투자,KOSPI,,4080,5,0.12,4115,4130,4050,41253,169110050,1.73181E+11,42446389
5830,DB손해보험,KOSPI,,79900,2800,3.63,78400,82700,78000,240135,19271015309,5.65692E+12,70800000
990,DB하이텍,KOSPI,,54900,-2100,-3.68,57600,57600,54700,529512,29345646400,2.43748E+12,44398588
139130,DGB금융지주,KOSPI,,7530,120,1.62,7500,7550,7450,438796,3297988240,1.27367E+12,169145833
60900,DGP,KOSDAQ,중견기업부,3995,-25,-0.62,4020,4050,3895,178157,701481095,96127917715,24062057
25440,DH오토웨어,KOSDAQ,중견기업부,2600,-75,-2.8,2695,2695,2575,18193,47586340,74100000000,28500000
1530,DI동일,KOSPI,,20250,-200,-0.98,20500,20600,20100,70479,1434718750,5.27324E+11,26040677
210,DL,KOSPI,,41600,-200,-0.48,41400,42000,41050,81575,3377640350,8.71765E+11,20955884
1880,DL건설,KOSPI,,11990,-90,-0.75,12200,12200,11860,10141,121525630,2.64419E+11,22053284
215,DL우,KOSPI,,21550,-50,-0.23,21950,21950,21350,1590,34161450,36335778250,1686115
375500,DL이앤씨,KOSPI,,30700,450,1.49,30500,31250,30350,180986,5579148450,1.18789E+12,38693623
37550L,DL이앤씨2우(전환),KOSPI,,21700,-50,-0.23,21850,22050,21700,3372,73559350,45829336700,2111951
37550K,DL이앤씨우,KOSPI,,19150,-200,-1.03,19350,19640,19000,3609,69288030,40480897750,2113885
68790,DMS,KOSDAQ,우량기업부,5330,-110,-2.02,5410,5450,5270,59619,317603350,1.30974E+11,24573061
7340,DN오토모티브,KOSPI,,89100,500,0.56,89100,89800,87600,15123,1343832600,8.90466E+11,9994005
4840,DRB동일,KOSPI,,5220,-90,-1.69,5220,5310,5190,10618,55671420,1.04035E+11,19930000
241520,DSC인베스트먼트,KOSDAQ,중견기업부,3240,-50,-1.52,3290,3295,3195,82243,265227890,90108945720,27811403
65150,DSEN,KOSDAQ,중견기업부,310,-5,-1.59,310,324,310,127138,39791370,38837545550,125282405
155660,DSR,KOSPI,,4555,10,0.22,4545,4615,4520,19270,87730030,72880000000,16000000
69730,DSR제강,KOSPI,,4485,-5,-0.11,4475,4915,4450,56417,260976840,64584000000,14400000
180400,DXVX,KOSDAQ,중견기업부,6860,10,0.15,6810,7000,6760,203924,1395302730,2.07305E+11,30219432
17940,E1,KOSPI,,56000,-400,-0.71,56800,56800,55600,20007,1120998100,3.8416E+11,6860000
245620,EDGC,KOSDAQ,기술성장기업부,1622,-62,-3.68,1695,1695,1600,994185,1631753780,1.4057E+11,86664786
37370,EG,KOSDAQ,중견기업부,16290,920,5.99,15530,17480,15400,708637,11683146930,1.40501E+11,8624972
